year,Stevens
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,0
1915,9
1916,5
1917,8
1918,7
1919,6
1920,12
1921,7
1922,9
1923,7
1924,8
1925,5
1926,10
1927,10
1928,6
1929,0
1930,10
1931,9
1932,6
1933,9
1934,6
1935,9
1936,10
1937,7
1938,6
1939,11
1940,8
1941,7
1942,12
1943,6
1944,11
1945,11
1946,16
1947,16
1948,23
1949,27
1950,20
1951,19
1952,13
1953,24
1954,16
1955,14
1956,14
1957,18
1958,15
1959,14
1960,13
1961,13
1962,8
1963,14
1964,11
1965,8
1966,17
1967,19
1968,17
1969,14
1970,11
1971,17
1972,14
1973,14
1974,13
1975,17
1976,21
1977,10
1978,10
1979,12
1980,18
1981,19
1982,22
1983,15
1984,24
1985,21
1986,21
1987,18
1988,16
1989,31
1990,28
1991,25
1992,21
1993,20
1994,19
1995,15
1996,15
1997,14
1998,8
1999,14
2000,6
2001,12
2002,12
2003,9
2004,9
2005,11
2006,12
2007,9
2008,6
2009,8
2010,6
2011,0
2012,7
