year,Sholom
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,5
1950,0
1951,0
1952,0
1953,5
1954,5
1955,0
1956,0
1957,9
1958,11
1959,9
1960,6
1961,0
1962,0
1963,10
1964,0
1965,5
1966,6
1967,0
1968,5
1969,6
1970,6
1971,5
1972,9
1973,6
1974,13
1975,7
1976,8
1977,8
1978,7
1979,12
1980,11
1981,15
1982,18
1983,19
1984,24
1985,18
1986,14
1987,23
1988,7
1989,10
1990,20
1991,16
1992,28
1993,17
1994,19
1995,12
1996,12
1997,26
1998,16
1999,20
2000,16
2001,30
2002,38
2003,33
2004,32
2005,28
2006,31
2007,28
2008,27
2009,37
2010,36
2011,35
2012,36
