year,Sammye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,9
1916,0
1917,8
1918,10
1919,5
1920,8
1921,6
1922,12
1923,10
1924,15
1925,14
1926,10
1927,9
1928,21
1929,13
1930,11
1931,14
1932,13
1933,19
1934,11
1935,19
1936,13
1937,21
1938,8
1939,13
1940,13
1941,21
1942,21
1943,23
1944,22
1945,26
1946,26
1947,28
1948,28
1949,14
1950,11
1951,28
1952,14
1953,23
1954,15
1955,10
1956,14
1957,5
1958,10
1959,7
1960,9
1961,11
1962,6
1963,6
1964,7
1965,0
1966,6
1967,0
1968,9
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
