year,Suzy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,8
1921,5
1922,16
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,6
1935,15
1936,15
1937,16
1938,23
1939,25
1940,39
1941,20
1942,51
1943,48
1944,41
1945,41
1946,67
1947,65
1948,46
1949,42
1950,38
1951,26
1952,55
1953,49
1954,44
1955,44
1956,68
1957,84
1958,167
1959,161
1960,145
1961,170
1962,226
1963,199
1964,183
1965,130
1966,111
1967,108
1968,81
1969,77
1970,75
1971,61
1972,58
1973,47
1974,43
1975,37
1976,40
1977,57
1978,38
1979,53
1980,43
1981,41
1982,39
1983,35
1984,26
1985,22
1986,31
1987,27
1988,22
1989,30
1990,18
1991,25
1992,28
1993,18
1994,21
1995,16
1996,15
1997,20
1998,8
1999,23
2000,11
2001,20
2002,16
2003,14
2004,19
2005,17
2006,18
2007,31
2008,19
2009,15
2010,23
2011,17
2012,22
