year,Suanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,7
1933,0
1934,9
1935,7
1936,10
1937,10
1938,15
1939,6
1940,14
1941,24
1942,28
1943,24
1944,26
1945,21
1946,33
1947,45
1948,26
1949,36
1950,40
1951,49
1952,50
1953,56
1954,73
1955,46
1956,68
1957,55
1958,54
1959,34
1960,30
1961,38
1962,42
1963,26
1964,44
1965,43
1966,23
1967,50
1968,24
1969,25
1970,25
1971,27
1972,22
1973,16
1974,16
1975,11
1976,6
1977,13
1978,8
1979,9
1980,12
1981,5
1982,0
1983,8
1984,0
1985,6
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
