year,Stanton (F),Stanton (M)
1880,0.000000,0.000030
1881,0.000000,0.000031
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000017
1890,0.000000,0.000030
1891,0.000000,0.000028
1892,0.000000,0.000015
1893,0.000000,0.000025
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000016
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000023
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000024
1908,0.000000,0.000020
1909,0.000000,0.000016
1910,0.000000,0.000022
1911,0.000000,0.000020
1912,0.000000,0.000025
1913,0.000000,0.000038
1914,0.000000,0.000038
1915,0.000000,0.000032
1916,0.000000,0.000026
1917,0.000000,0.000034
1918,0.000000,0.000033
1919,0.000000,0.000033
1920,0.000000,0.000040
1921,0.000000,0.000030
1922,0.000000,0.000028
1923,0.000000,0.000030
1924,0.000000,0.000038
1925,0.000000,0.000033
1926,0.000000,0.000033
1927,0.000000,0.000041
1928,0.000000,0.000032
1929,0.000000,0.000035
1930,0.000000,0.000025
1931,0.000000,0.000032
1932,0.000000,0.000036
1933,0.000000,0.000036
1934,0.000000,0.000029
1935,0.000000,0.000029
1936,0.000000,0.000030
1937,0.000000,0.000030
1938,0.000000,0.000030
1939,0.000000,0.000026
1940,0.000000,0.000031
1941,0.000000,0.000028
1942,0.000000,0.000027
1943,0.000000,0.000021
1944,0.000000,0.000023
1945,0.000000,0.000027
1946,0.000000,0.000027
1947,0.000000,0.000029
1948,0.000000,0.000023
1949,0.000000,0.000032
1950,0.000000,0.000031
1951,0.000000,0.000029
1952,0.000000,0.000028
1953,0.000000,0.000025
1954,0.000000,0.000029
1955,0.000000,0.000024
1956,0.000000,0.000022
1957,0.000000,0.000023
1958,0.000000,0.000021
1959,0.000000,0.000019
1960,0.000000,0.000019
1961,0.000000,0.000018
1962,0.000000,0.000019
1963,0.000000,0.000022
1964,0.000000,0.000016
1965,0.000000,0.000018
1966,0.000000,0.000013
1967,0.000000,0.000019
1968,0.000000,0.000020
1969,0.000000,0.000021
1970,0.000000,0.000017
1971,0.000000,0.000019
1972,0.000000,0.000017
1973,0.000000,0.000020
1974,0.000000,0.000012
1975,0.000000,0.000015
1976,0.000000,0.000011
1977,0.000000,0.000010
1978,0.000000,0.000017
1979,0.000000,0.000012
1980,0.000000,0.000008
1981,0.000000,0.000012
1982,0.000000,0.000014
1983,0.000000,0.000016
1984,0.000000,0.000015
1985,0.000000,0.000015
1986,0.000000,0.000016
1987,0.000000,0.000015
1988,0.000000,0.000015
1989,0.000000,0.000015
1990,0.000000,0.000013
1991,0.000000,0.000016
1992,0.000000,0.000020
1993,0.000000,0.000013
1994,0.000000,0.000016
1995,0.000000,0.000016
1996,0.000000,0.000011
1997,0.000000,0.000014
1998,0.000000,0.000010
1999,0.000000,0.000011
2000,0.000000,0.000010
2001,0.000000,0.000010
2002,0.000000,0.000006
2003,0.000000,0.000007
2004,0.000000,0.000008
2005,0.000000,0.000006
2006,0.000000,0.000007
2007,0.000000,0.000005
2008,0.000000,0.000009
2009,0.000000,0.000007
2010,0.000000,0.000005
2011,0.000000,0.000007
2012,0.000000,0.000009
