year,Senora
1880,0
1881,5
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,5
1901,0
1902,0
1903,6
1904,0
1905,0
1906,5
1907,6
1908,6
1909,6
1910,5
1911,6
1912,8
1913,11
1914,7
1915,17
1916,12
1917,10
1918,8
1919,17
1920,17
1921,10
1922,21
1923,23
1924,14
1925,11
1926,9
1927,12
1928,12
1929,8
1930,14
1931,6
1932,14
1933,12
1934,16
1935,7
1936,7
1937,5
1938,8
1939,13
1940,12
1941,11
1942,8
1943,17
1944,5
1945,8
1946,12
1947,18
1948,11
1949,18
1950,5
1951,16
1952,9
1953,15
1954,18
1955,12
1956,9
1957,13
1958,13
1959,14
1960,11
1961,17
1962,11
1963,16
1964,18
1965,20
1966,14
1967,9
1968,14
1969,14
1970,11
1971,8
1972,8
1973,11
1974,12
1975,10
1976,11
1977,8
1978,5
1979,9
1980,0
1981,6
1982,7
1983,5
1984,7
1985,0
1986,6
1987,5
1988,5
1989,9
1990,8
1991,6
1992,6
1993,5
1994,7
1995,0
1996,0
1997,8
1998,6
1999,0
2000,7
2001,5
2002,0
2003,0
2004,0
2005,6
2006,7
2007,6
2008,6
2009,6
2010,0
2011,0
2012,0
