year,Sheralyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,7
1941,7
1942,10
1943,7
1944,10
1945,14
1946,17
1947,20
1948,11
1949,13
1950,19
1951,14
1952,11
1953,12
1954,18
1955,9
1956,24
1957,17
1958,10
1959,16
1960,11
1961,14
1962,12
1963,18
1964,14
1965,12
1966,12
1967,10
1968,14
1969,15
1970,13
1971,9
1972,7
1973,13
1974,12
1975,11
1976,6
1977,15
1978,5
1979,13
1980,9
1981,6
1982,9
1983,7
1984,8
1985,0
1986,9
1987,6
1988,0
1989,6
1990,0
1991,6
1992,6
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
