year,Sanjuana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,5
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,10
1920,8
1921,13
1922,11
1923,12
1924,10
1925,11
1926,12
1927,14
1928,9
1929,12
1930,10
1931,15
1932,14
1933,9
1934,17
1935,12
1936,14
1937,12
1938,12
1939,10
1940,19
1941,11
1942,14
1943,12
1944,23
1945,20
1946,40
1947,48
1948,59
1949,92
1950,106
1951,75
1952,69
1953,57
1954,63
1955,43
1956,38
1957,35
1958,31
1959,23
1960,24
1961,23
1962,26
1963,17
1964,21
1965,16
1966,23
1967,20
1968,27
1969,18
1970,32
1971,28
1972,27
1973,38
1974,36
1975,42
1976,35
1977,24
1978,34
1979,26
1980,20
1981,38
1982,32
1983,19
1984,19
1985,18
1986,18
1987,21
1988,20
1989,15
1990,22
1991,17
1992,21
1993,18
1994,26
1995,40
1996,19
1997,22
1998,20
1999,16
2000,16
2001,25
2002,9
2003,10
2004,11
2005,17
2006,14
2007,18
2008,10
2009,14
2010,5
2011,8
2012,7
