year,Sheryll
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,7
1937,8
1938,7
1939,11
1940,14
1941,13
1942,30
1943,36
1944,43
1945,27
1946,47
1947,62
1948,55
1949,64
1950,49
1951,48
1952,63
1953,49
1954,71
1955,101
1956,93
1957,83
1958,61
1959,52
1960,50
1961,58
1962,50
1963,38
1964,33
1965,22
1966,24
1967,12
1968,20
1969,24
1970,13
1971,11
1972,16
1973,5
1974,12
1975,9
1976,5
1977,13
1978,0
1979,9
1980,10
1981,6
1982,7
1983,0
1984,5
1985,0
1986,6
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
