year,Scotty (F),Scotty (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000004
1917,0.000000,0.000000
1918,0.000000,0.000003
1919,0.000000,0.000003
1920,0.000000,0.000004
1921,0.000000,0.000003
1922,0.000000,0.000006
1923,0.000000,0.000006
1924,0.000000,0.000003
1925,0.000000,0.000004
1926,0.000000,0.000004
1927,0.000000,0.000004
1928,0.000000,0.000006
1929,0.000000,0.000005
1930,0.000000,0.000006
1931,0.000000,0.000008
1932,0.000000,0.000009
1933,0.000000,0.000013
1934,0.000000,0.000012
1935,0.000000,0.000016
1936,0.000000,0.000018
1937,0.000002,0.000017
1938,0.000000,0.000019
1939,0.000000,0.000020
1940,0.000003,0.000025
1941,0.000002,0.000033
1942,0.000000,0.000018
1943,0.000000,0.000017
1944,0.000000,0.000021
1945,0.000002,0.000023
1946,0.000002,0.000026
1947,0.000000,0.000024
1948,0.000001,0.000022
1949,0.000001,0.000026
1950,0.000001,0.000034
1951,0.000002,0.000033
1952,0.000000,0.000032
1953,0.000000,0.000036
1954,0.000002,0.000035
1955,0.000003,0.000041
1956,0.000002,0.000043
1957,0.000001,0.000043
1958,0.000002,0.000058
1959,0.000002,0.000055
1960,0.000001,0.000068
1961,0.000001,0.000074
1962,0.000002,0.000094
1963,0.000000,0.000094
1964,0.000000,0.000108
1965,0.000000,0.000119
1966,0.000002,0.000151
1967,0.000001,0.000168
1968,0.000002,0.000173
1969,0.000002,0.000175
1970,0.000002,0.000159
1971,0.000004,0.000326
1972,0.000002,0.000241
1973,0.000002,0.000230
1974,0.000000,0.000199
1975,0.000004,0.000186
1976,0.000002,0.000147
1977,0.000000,0.000131
1978,0.000000,0.000122
1979,0.000002,0.000155
1980,0.000002,0.000129
1981,0.000001,0.000121
1982,0.000000,0.000118
1983,0.000002,0.000090
1984,0.000000,0.000079
1985,0.000000,0.000080
1986,0.000000,0.000073
1987,0.000000,0.000063
1988,0.000000,0.000057
1989,0.000000,0.000048
1990,0.000000,0.000050
1991,0.000000,0.000039
1992,0.000000,0.000048
1993,0.000000,0.000045
1994,0.000000,0.000033
1995,0.000000,0.000032
1996,0.000000,0.000025
1997,0.000000,0.000018
1998,0.000000,0.000023
1999,0.000000,0.000021
2000,0.000000,0.000020
2001,0.000000,0.000017
2002,0.000000,0.000017
2003,0.000000,0.000016
2004,0.000000,0.000015
2005,0.000000,0.000014
2006,0.000000,0.000014
2007,0.000000,0.000014
2008,0.000000,0.000016
2009,0.000000,0.000015
2010,0.000000,0.000011
2011,0.000000,0.000014
2012,0.000000,0.000014
