year,Serina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,7
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,11
1943,6
1944,0
1945,0
1946,0
1947,0
1948,0
1949,9
1950,6
1951,0
1952,0
1953,7
1954,0
1955,7
1956,9
1957,11
1958,15
1959,11
1960,12
1961,17
1962,20
1963,16
1964,8
1965,19
1966,33
1967,28
1968,84
1969,96
1970,133
1971,107
1972,72
1973,71
1974,75
1975,76
1976,66
1977,82
1978,80
1979,98
1980,105
1981,82
1982,83
1983,93
1984,113
1985,104
1986,92
1987,88
1988,95
1989,121
1990,111
1991,102
1992,118
1993,135
1994,130
1995,168
1996,165
1997,160
1998,214
1999,190
2000,173
2001,161
2002,128
2003,163
2004,135
2005,113
2006,109
2007,109
2008,91
2009,79
2010,78
2011,65
2012,91
