year,Stuart (F),Stuart (M)
1880,0.000000,0.000079
1881,0.000000,0.000062
1882,0.000000,0.000045
1883,0.000000,0.000051
1884,0.000000,0.000045
1885,0.000000,0.000054
1886,0.000000,0.000067
1887,0.000000,0.000073
1888,0.000000,0.000050
1889,0.000000,0.000073
1890,0.000000,0.000043
1891,0.000000,0.000070
1892,0.000000,0.000051
1893,0.000000,0.000052
1894,0.000000,0.000047
1895,0.000000,0.000057
1896,0.000000,0.000056
1897,0.000000,0.000066
1898,0.000000,0.000052
1899,0.000000,0.000053
1900,0.000000,0.000049
1901,0.000000,0.000064
1902,0.000000,0.000057
1903,0.000000,0.000068
1904,0.000000,0.000094
1905,0.000000,0.000080
1906,0.000000,0.000077
1907,0.000000,0.000077
1908,0.000000,0.000047
1909,0.000000,0.000065
1910,0.000000,0.000068
1911,0.000000,0.000075
1912,0.000000,0.000119
1913,0.000000,0.000138
1914,0.000000,0.000133
1915,0.000003,0.000136
1916,0.000000,0.000134
1917,0.000000,0.000139
1918,0.000005,0.000129
1919,0.000000,0.000128
1920,0.000000,0.000144
1921,0.000000,0.000150
1922,0.000000,0.000150
1923,0.000000,0.000162
1924,0.000002,0.000149
1925,0.000000,0.000171
1926,0.000000,0.000160
1927,0.000003,0.000154
1928,0.000002,0.000175
1929,0.000000,0.000177
1930,0.000004,0.000185
1931,0.000000,0.000190
1932,0.000003,0.000220
1933,0.000000,0.000219
1934,0.000000,0.000237
1935,0.000000,0.000237
1936,0.000002,0.000261
1937,0.000004,0.000292
1938,0.000002,0.000290
1939,0.000003,0.000268
1940,0.000002,0.000295
1941,0.000000,0.000364
1942,0.000003,0.000353
1943,0.000002,0.000328
1944,0.000000,0.000295
1945,0.000000,0.000297
1946,0.000000,0.000323
1947,0.000001,0.000330
1948,0.000002,0.000311
1949,0.000001,0.000343
1950,0.000002,0.000341
1951,0.000000,0.000340
1952,0.000002,0.000331
1953,0.000000,0.000355
1954,0.000001,0.000375
1955,0.000001,0.000350
1956,0.000000,0.000361
1957,0.000000,0.000339
1958,0.000002,0.000324
1959,0.000002,0.000445
1960,0.000002,0.000500
1961,0.000002,0.000459
1962,0.000000,0.000429
1963,0.000002,0.000401
1964,0.000002,0.000389
1965,0.000000,0.000358
1966,0.000002,0.000336
1967,0.000002,0.000283
1968,0.000000,0.000264
1969,0.000002,0.000241
1970,0.000002,0.000213
1971,0.000001,0.000229
1972,0.000000,0.000187
1973,0.000003,0.000226
1974,0.000000,0.000223
1975,0.000002,0.000188
1976,0.000000,0.000185
1977,0.000002,0.000181
1978,0.000000,0.000171
1979,0.000000,0.000171
1980,0.000000,0.000163
1981,0.000000,0.000172
1982,0.000002,0.000167
1983,0.000002,0.000184
1984,0.000001,0.000198
1985,0.000003,0.000219
1986,0.000001,0.000193
1987,0.000002,0.000183
1988,0.000002,0.000183
1989,0.000000,0.000192
1990,0.000000,0.000179
1991,0.000001,0.000171
1992,0.000002,0.000135
1993,0.000000,0.000119
1994,0.000000,0.000128
1995,0.000002,0.000108
1996,0.000001,0.000089
1997,0.000002,0.000084
1998,0.000001,0.000070
1999,0.000000,0.000065
2000,0.000000,0.000071
2001,0.000000,0.000065
2002,0.000000,0.000051
2003,0.000000,0.000044
2004,0.000000,0.000041
2005,0.000000,0.000041
2006,0.000000,0.000041
2007,0.000000,0.000033
2008,0.000000,0.000029
2009,0.000000,0.000030
2010,0.000000,0.000024
2011,0.000000,0.000027
2012,0.000000,0.000024
