year,Sedric
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,5
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,0
1945,6
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,9
1955,0
1956,0
1957,9
1958,12
1959,9
1960,11
1961,11
1962,13
1963,16
1964,11
1965,19
1966,8
1967,19
1968,18
1969,35
1970,30
1971,40
1972,40
1973,29
1974,42
1975,40
1976,32
1977,38
1978,31
1979,34
1980,37
1981,45
1982,46
1983,22
1984,27
1985,30
1986,27
1987,19
1988,24
1989,26
1990,26
1991,37
1992,21
1993,23
1994,24
1995,30
1996,31
1997,31
1998,24
1999,28
2000,39
2001,28
2002,28
2003,16
2004,18
2005,7
2006,13
2007,14
2008,14
2009,14
2010,20
2011,17
2012,15
