year,Santina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,8
1904,0
1905,0
1906,10
1907,7
1908,10
1909,8
1910,15
1911,20
1912,19
1913,27
1914,42
1915,51
1916,54
1917,46
1918,65
1919,69
1920,44
1921,65
1922,69
1923,59
1924,58
1925,52
1926,63
1927,46
1928,31
1929,51
1930,42
1931,43
1932,35
1933,29
1934,28
1935,25
1936,10
1937,11
1938,18
1939,17
1940,16
1941,14
1942,13
1943,15
1944,14
1945,10
1946,6
1947,16
1948,12
1949,11
1950,14
1951,13
1952,6
1953,7
1954,8
1955,13
1956,9
1957,11
1958,18
1959,16
1960,19
1961,15
1962,11
1963,25
1964,13
1965,13
1966,20
1967,23
1968,28
1969,20
1970,27
1971,26
1972,25
1973,32
1974,23
1975,29
1976,35
1977,30
1978,18
1979,36
1980,41
1981,28
1982,22
1983,19
1984,39
1985,38
1986,33
1987,34
1988,36
1989,30
1990,31
1991,30
1992,38
1993,35
1994,29
1995,23
1996,29
1997,27
1998,25
1999,40
2000,34
2001,29
2002,24
2003,23
2004,24
2005,23
2006,16
2007,21
2008,16
2009,16
2010,18
2011,11
2012,11
