year,Shira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,5
1949,9
1950,11
1951,8
1952,12
1953,12
1954,6
1955,9
1956,20
1957,19
1958,19
1959,15
1960,25
1961,19
1962,18
1963,14
1964,21
1965,20
1966,28
1967,22
1968,28
1969,28
1970,41
1971,38
1972,45
1973,52
1974,51
1975,69
1976,71
1977,95
1978,82
1979,104
1980,109
1981,99
1982,123
1983,130
1984,119
1985,155
1986,120
1987,88
1988,130
1989,101
1990,109
1991,82
1992,115
1993,101
1994,97
1995,95
1996,99
1997,84
1998,95
1999,110
2000,114
2001,134
2002,119
2003,111
2004,137
2005,139
2006,139
2007,121
2008,151
2009,159
2010,125
2011,92
2012,78
