year,Sydnee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,7
1946,0
1947,0
1948,0
1949,5
1950,7
1951,8
1952,0
1953,7
1954,5
1955,9
1956,5
1957,0
1958,6
1959,0
1960,5
1961,8
1962,8
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,8
1970,0
1971,8
1972,0
1973,0
1974,9
1975,0
1976,8
1977,7
1978,6
1979,0
1980,8
1981,9
1982,9
1983,7
1984,9
1985,16
1986,24
1987,25
1988,38
1989,66
1990,116
1991,131
1992,130
1993,157
1994,216
1995,315
1996,286
1997,346
1998,376
1999,469
2000,482
2001,441
2002,386
2003,506
2004,405
2005,378
2006,356
2007,331
2008,289
2009,265
2010,268
2011,240
2012,192
