year,Sterling (F),Sterling (M)
1880,0.000000,0.000084
1881,0.000000,0.000042
1882,0.000000,0.000072
1883,0.000000,0.000092
1884,0.000000,0.000082
1885,0.000000,0.000075
1886,0.000000,0.000039
1887,0.000000,0.000077
1888,0.000000,0.000083
1889,0.000000,0.000052
1890,0.000000,0.000050
1891,0.000000,0.000087
1892,0.000000,0.000069
1893,0.000000,0.000092
1894,0.000000,0.000044
1895,0.000000,0.000100
1896,0.000000,0.000059
1897,0.000000,0.000072
1898,0.000000,0.000068
1899,0.000000,0.000053
1900,0.000000,0.000084
1901,0.000000,0.000081
1902,0.000000,0.000078
1903,0.000000,0.000081
1904,0.000000,0.000082
1905,0.000000,0.000071
1906,0.000000,0.000075
1907,0.000000,0.000084
1908,0.000000,0.000090
1909,0.000000,0.000092
1910,0.000000,0.000078
1911,0.000000,0.000073
1912,0.000000,0.000101
1913,0.000005,0.000116
1914,0.000000,0.000107
1915,0.000000,0.000114
1916,0.000000,0.000104
1917,0.000000,0.000109
1918,0.000004,0.000115
1919,0.000000,0.000120
1920,0.000003,0.000114
1921,0.000003,0.000115
1922,0.000004,0.000118
1923,0.000003,0.000110
1924,0.000000,0.000118
1925,0.000000,0.000103
1926,0.000000,0.000107
1927,0.000003,0.000102
1928,0.000003,0.000101
1929,0.000003,0.000114
1930,0.000000,0.000094
1931,0.000002,0.000092
1932,0.000002,0.000108
1933,0.000000,0.000093
1934,0.000002,0.000090
1935,0.000000,0.000086
1936,0.000000,0.000093
1937,0.000000,0.000078
1938,0.000003,0.000085
1939,0.000002,0.000080
1940,0.000000,0.000089
1941,0.000003,0.000082
1942,0.000003,0.000094
1943,0.000002,0.000077
1944,0.000000,0.000078
1945,0.000003,0.000081
1946,0.000003,0.000072
1947,0.000000,0.000078
1948,0.000001,0.000074
1949,0.000002,0.000075
1950,0.000000,0.000072
1951,0.000000,0.000071
1952,0.000002,0.000067
1953,0.000000,0.000066
1954,0.000000,0.000063
1955,0.000002,0.000066
1956,0.000001,0.000068
1957,0.000000,0.000059
1958,0.000001,0.000059
1959,0.000000,0.000062
1960,0.000000,0.000057
1961,0.000001,0.000060
1962,0.000000,0.000071
1963,0.000000,0.000072
1964,0.000001,0.000073
1965,0.000002,0.000059
1966,0.000002,0.000069
1967,0.000002,0.000064
1968,0.000002,0.000073
1969,0.000003,0.000067
1970,0.000004,0.000062
1971,0.000003,0.000070
1972,0.000002,0.000058
1973,0.000002,0.000064
1974,0.000005,0.000064
1975,0.000002,0.000061
1976,0.000002,0.000062
1977,0.000004,0.000067
1978,0.000005,0.000071
1979,0.000005,0.000068
1980,0.000005,0.000071
1981,0.000006,0.000063
1982,0.000006,0.000068
1983,0.000007,0.000080
1984,0.000007,0.000084
1985,0.000006,0.000077
1986,0.000007,0.000084
1987,0.000009,0.000090
1988,0.000011,0.000112
1989,0.000009,0.000101
1990,0.000010,0.000114
1991,0.000013,0.000117
1992,0.000014,0.000131
1993,0.000020,0.000134
1994,0.000019,0.000154
1995,0.000014,0.000140
1996,0.000017,0.000129
1997,0.000012,0.000118
1998,0.000018,0.000115
1999,0.000015,0.000106
2000,0.000019,0.000096
2001,0.000015,0.000106
2002,0.000021,0.000096
2003,0.000014,0.000086
2004,0.000016,0.000079
2005,0.000010,0.000071
2006,0.000014,0.000068
2007,0.000010,0.000067
2008,0.000011,0.000062
2009,0.000012,0.000061
2010,0.000014,0.000081
2011,0.000018,0.000084
2012,0.000018,0.000096
2013,0.000019,0.000121
2014,0.000026,0.000149
2015,0.000023,0.000161
2016,0.000036,0.000183
2017,0.000036,0.000199
2018,0.000036,0.000223
2019,0.000033,0.000217
2020,0.000037,0.000228
