year,Stephine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,0
1955,0
1956,9
1957,7
1958,6
1959,7
1960,8
1961,14
1962,17
1963,20
1964,20
1965,26
1966,18
1967,35
1968,41
1969,36
1970,43
1971,34
1972,47
1973,54
1974,46
1975,40
1976,40
1977,51
1978,44
1979,45
1980,40
1981,65
1982,49
1983,57
1984,52
1985,52
1986,61
1987,42
1988,55
1989,60
1990,58
1991,41
1992,43
1993,38
1994,31
1995,26
1996,29
1997,15
1998,21
1999,25
2000,21
2001,16
2002,15
2003,9
2004,7
2005,8
2006,7
2007,10
2008,8
2009,7
2010,0
2011,0
2012,0
