year,Sharyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,10
1933,0
1934,11
1935,15
1936,20
1937,28
1938,24
1939,37
1940,41
1941,78
1942,72
1943,131
1944,269
1945,768
1946,680
1947,919
1948,601
1949,340
1950,243
1951,174
1952,125
1953,110
1954,88
1955,98
1956,108
1957,99
1958,74
1959,107
1960,76
1961,89
1962,110
1963,116
1964,102
1965,126
1966,100
1967,107
1968,96
1969,109
1970,104
1971,79
1972,69
1973,43
1974,41
1975,45
1976,39
1977,34
1978,44
1979,38
1980,34
1981,29
1982,27
1983,19
1984,22
1985,21
1986,20
1987,14
1988,19
1989,17
1990,14
1991,18
1992,18
1993,9
1994,14
1995,11
1996,8
1997,5
1998,11
1999,5
2000,5
2001,6
2002,10
2003,0
2004,8
2005,10
2006,7
2007,6
2008,0
2009,6
2010,0
2011,0
2012,0
