year,Shelly (F),Shelly (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000017
1891,0.000000,0.000021
1892,0.000000,0.000000
1893,0.000000,0.000028
1894,0.000000,0.000021
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000023
1898,0.000000,0.000018
1899,0.000000,0.000018
1900,0.000000,0.000018
1901,0.000000,0.000023
1902,0.000000,0.000021
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000000
1909,0.000000,0.000016
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000011
1914,0.000000,0.000011
1915,0.000000,0.000008
1916,0.000003,0.000009
1917,0.000000,0.000007
1918,0.000000,0.000011
1919,0.000000,0.000009
1920,0.000000,0.000008
1921,0.000000,0.000007
1922,0.000003,0.000007
1923,0.000003,0.000013
1924,0.000004,0.000013
1925,0.000000,0.000009
1926,0.000002,0.000011
1927,0.000005,0.000009
1928,0.000003,0.000016
1929,0.000000,0.000011
1930,0.000003,0.000011
1931,0.000005,0.000008
1932,0.000008,0.000011
1933,0.000003,0.000008
1934,0.000008,0.000012
1935,0.000009,0.000013
1936,0.000009,0.000015
1937,0.000015,0.000014
1938,0.000014,0.000012
1939,0.000018,0.000011
1940,0.000016,0.000013
1941,0.000014,0.000011
1942,0.000021,0.000011
1943,0.000023,0.000012
1944,0.000019,0.000011
1945,0.000028,0.000014
1946,0.000022,0.000007
1947,0.000021,0.000009
1948,0.000030,0.000010
1949,0.000052,0.000010
1950,0.000095,0.000016
1951,0.000110,0.000011
1952,0.000142,0.000011
1953,0.000148,0.000008
1954,0.000191,0.000010
1955,0.000196,0.000005
1956,0.000225,0.000008
1957,0.000289,0.000009
1958,0.000334,0.000008
1959,0.000453,0.000006
1960,0.000647,0.000009
1961,0.000723,0.000009
1962,0.000862,0.000007
1963,0.000957,0.000008
1964,0.001049,0.000012
1965,0.001062,0.000012
1966,0.001109,0.000009
1967,0.001075,0.000008
1968,0.001064,0.000012
1969,0.001057,0.000010
1970,0.001040,0.000011
1971,0.001060,0.000009
1972,0.001046,0.000012
1973,0.000964,0.000012
1974,0.000920,0.000010
1975,0.000823,0.000009
1976,0.000613,0.000008
1977,0.000582,0.000005
1978,0.000473,0.000009
1979,0.000438,0.000006
1980,0.000421,0.000003
1981,0.000355,0.000003
1982,0.000324,0.000004
1983,0.000310,0.000002
1984,0.000272,0.000003
1985,0.000248,0.000002
1986,0.000209,0.000002
1987,0.000174,0.000000
1988,0.000145,0.000002
1989,0.000121,0.000003
1990,0.000105,0.000002
1991,0.000111,0.000002
1992,0.000091,0.000000
1993,0.000081,0.000002
1994,0.000076,0.000002
1995,0.000066,0.000000
1996,0.000060,0.000002
1997,0.000046,0.000000
1998,0.000046,0.000000
1999,0.000043,0.000000
2000,0.000039,0.000000
2001,0.000033,0.000001
2002,0.000033,0.000000
2003,0.000030,0.000000
2004,0.000026,0.000000
2005,0.000028,0.000000
2006,0.000023,0.000000
2007,0.000018,0.000001
2008,0.000018,0.000000
2009,0.000021,0.000000
2010,0.000015,0.000000
2011,0.000011,0.000000
2012,0.000014,0.000000
2013,0.000014,0.000000
2014,0.000014,0.000000
2015,0.000012,0.000000
2016,0.000010,0.000000
2017,0.000010,0.000000
2018,0.000008,0.000000
2019,0.000008,0.000000
2020,0.000008,0.000000
