year,Sol (F),Sol (M)
1880,0.000000,0.000060
1881,0.000000,0.000078
1882,0.000000,0.000090
1883,0.000000,0.000074
1884,0.000000,0.000078
1885,0.000000,0.000108
1886,0.000000,0.000055
1887,0.000000,0.000057
1888,0.000000,0.000047
1889,0.000000,0.000073
1890,0.000000,0.000046
1891,0.000000,0.000049
1892,0.000000,0.000060
1893,0.000000,0.000049
1894,0.000000,0.000065
1895,0.000000,0.000068
1896,0.000000,0.000070
1897,0.000000,0.000075
1898,0.000000,0.000045
1899,0.000000,0.000053
1900,0.000000,0.000062
1901,0.000000,0.000078
1902,0.000000,0.000088
1903,0.000000,0.000084
1904,0.000000,0.000064
1905,0.000000,0.000068
1906,0.000000,0.000065
1907,0.000000,0.000080
1908,0.000000,0.000090
1909,0.000000,0.000104
1910,0.000000,0.000124
1911,0.000000,0.000121
1912,0.000000,0.000171
1913,0.000000,0.000192
1914,0.000000,0.000177
1915,0.000000,0.000148
1916,0.000000,0.000131
1917,0.000000,0.000148
1918,0.000000,0.000148
1919,0.000000,0.000108
1920,0.000000,0.000109
1921,0.000000,0.000105
1922,0.000000,0.000100
1923,0.000000,0.000112
1924,0.000000,0.000083
1925,0.000000,0.000078
1926,0.000000,0.000072
1927,0.000000,0.000072
1928,0.000000,0.000062
1929,0.000000,0.000051
1930,0.000000,0.000044
1931,0.000000,0.000035
1932,0.000000,0.000031
1933,0.000000,0.000024
1934,0.000000,0.000022
1935,0.000000,0.000021
1936,0.000000,0.000021
1937,0.000000,0.000019
1938,0.000000,0.000019
1939,0.000000,0.000016
1940,0.000000,0.000011
1941,0.000000,0.000011
1942,0.000000,0.000008
1943,0.000000,0.000007
1944,0.000000,0.000008
1945,0.000000,0.000009
1946,0.000000,0.000010
1947,0.000000,0.000008
1948,0.000000,0.000006
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000006
1952,0.000000,0.000006
1953,0.000001,0.000004
1954,0.000000,0.000005
1955,0.000000,0.000006
1956,0.000000,0.000004
1957,0.000000,0.000003
1958,0.000001,0.000003
1959,0.000003,0.000005
1960,0.000002,0.000004
1961,0.000002,0.000004
1962,0.000001,0.000002
1963,0.000003,0.000004
1964,0.000002,0.000005
1965,0.000005,0.000003
1966,0.000005,0.000004
1967,0.000004,0.000003
1968,0.000003,0.000006
1969,0.000003,0.000004
1970,0.000004,0.000007
1971,0.000006,0.000007
1972,0.000005,0.000008
1973,0.000006,0.000006
1974,0.000005,0.000006
1975,0.000006,0.000008
1976,0.000005,0.000008
1977,0.000005,0.000007
1978,0.000003,0.000005
1979,0.000006,0.000008
1980,0.000006,0.000006
1981,0.000003,0.000005
1982,0.000003,0.000005
1983,0.000003,0.000003
1984,0.000003,0.000006
1985,0.000004,0.000006
1986,0.000003,0.000003
1987,0.000003,0.000003
1988,0.000003,0.000003
1989,0.000004,0.000003
1990,0.000005,0.000003
1991,0.000003,0.000005
1992,0.000004,0.000005
1993,0.000007,0.000004
1994,0.000004,0.000008
1995,0.000007,0.000003
1996,0.000004,0.000003
1997,0.000008,0.000007
1998,0.000012,0.000006
1999,0.000008,0.000004
2000,0.000012,0.000005
2001,0.000015,0.000007
2002,0.000013,0.000007
2003,0.000016,0.000008
2004,0.000016,0.000009
2005,0.000017,0.000012
2006,0.000022,0.000006
2007,0.000023,0.000010
2008,0.000020,0.000008
2009,0.000018,0.000013
2010,0.000029,0.000014
2011,0.000021,0.000013
2012,0.000022,0.000009
