year,Evaristo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,6
1913,8
1914,7
1915,15
1916,11
1917,13
1918,10
1919,10
1920,9
1921,10
1922,10
1923,9
1924,20
1925,13
1926,16
1927,22
1928,13
1929,13
1930,14
1931,15
1932,19
1933,20
1934,17
1935,15
1936,12
1937,15
1938,8
1939,8
1940,10
1941,15
1942,16
1943,16
1944,9
1945,20
1946,15
1947,11
1948,12
1949,18
1950,13
1951,21
1952,12
1953,22
1954,12
1955,24
1956,12
1957,13
1958,14
1959,14
1960,19
1961,26
1962,16
1963,23
1964,21
1965,24
1966,15
1967,9
1968,13
1969,15
1970,23
1971,35
1972,16
1973,22
1974,21
1975,23
1976,16
1977,19
1978,24
1979,22
1980,22
1981,30
1982,16
1983,21
1984,14
1985,19
1986,24
1987,17
1988,29
1989,22
1990,30
1991,34
1992,25
1993,23
1994,33
1995,21
1996,22
1997,20
1998,23
1999,27
2000,25
2001,26
2002,19
2003,18
2004,15
2005,19
2006,16
2007,17
2008,16
2009,8
2010,16
2011,16
2012,18
