year,Exie
1880,0
1881,8
1882,7
1883,0
1884,0
1885,12
1886,9
1887,7
1888,11
1889,8
1890,20
1891,11
1892,18
1893,13
1894,18
1895,20
1896,19
1897,17
1898,24
1899,18
1900,31
1901,25
1902,23
1903,22
1904,25
1905,26
1906,20
1907,21
1908,43
1909,37
1910,27
1911,49
1912,35
1913,39
1914,48
1915,52
1916,55
1917,62
1918,55
1919,68
1920,69
1921,71
1922,38
1923,52
1924,64
1925,47
1926,45
1927,35
1928,30
1929,34
1930,35
1931,33
1932,33
1933,28
1934,32
1935,18
1936,32
1937,17
1938,18
1939,25
1940,17
1941,13
1942,22
1943,15
1944,16
1945,13
1946,10
1947,17
1948,12
1949,15
1950,8
1951,11
1952,9
1953,9
1954,8
1955,11
1956,7
1957,10
1958,6
1959,11
1960,6
1961,5
1962,11
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,6
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,6
