year,Earlean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,13
1905,0
1906,0
1907,8
1908,0
1909,13
1910,6
1911,14
1912,14
1913,13
1914,14
1915,23
1916,29
1917,31
1918,37
1919,49
1920,45
1921,49
1922,39
1923,50
1924,58
1925,42
1926,40
1927,59
1928,45
1929,54
1930,63
1931,64
1932,85
1933,54
1934,68
1935,66
1936,60
1937,55
1938,65
1939,75
1940,64
1941,84
1942,60
1943,73
1944,60
1945,56
1946,42
1947,55
1948,58
1949,72
1950,62
1951,43
1952,56
1953,37
1954,40
1955,39
1956,41
1957,24
1958,25
1959,24
1960,26
1961,21
1962,13
1963,16
1964,9
1965,12
1966,8
1967,9
1968,7
1969,12
1970,5
1971,5
1972,6
1973,6
1974,0
1975,0
1976,5
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
