year,Emelda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,7
1908,0
1909,13
1910,9
1911,8
1912,5
1913,14
1914,15
1915,22
1916,20
1917,19
1918,18
1919,23
1920,28
1921,30
1922,25
1923,33
1924,33
1925,25
1926,34
1927,30
1928,26
1929,25
1930,23
1931,23
1932,20
1933,18
1934,16
1935,24
1936,22
1937,22
1938,19
1939,30
1940,22
1941,13
1942,19
1943,19
1944,22
1945,11
1946,22
1947,16
1948,27
1949,18
1950,24
1951,17
1952,22
1953,17
1954,21
1955,24
1956,16
1957,20
1958,16
1959,18
1960,8
1961,11
1962,19
1963,15
1964,15
1965,14
1966,10
1967,9
1968,13
1969,17
1970,18
1971,10
1972,13
1973,6
1974,6
1975,13
1976,11
1977,6
1978,14
1979,6
1980,10
1981,11
1982,7
1983,11
1984,7
1985,7
1986,6
1987,0
1988,6
1989,8
1990,5
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
