year,Elija
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,6
1915,9
1916,0
1917,8
1918,12
1919,0
1920,0
1921,5
1922,7
1923,7
1924,5
1925,0
1926,0
1927,0
1928,10
1929,0
1930,5
1931,5
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,0
1980,9
1981,7
1982,0
1983,5
1984,8
1985,8
1986,8
1987,9
1988,6
1989,8
1990,7
1991,5
1992,11
1993,17
1994,8
1995,16
1996,17
1997,23
1998,17
1999,21
2000,26
2001,29
2002,46
2003,32
2004,49
2005,38
2006,41
2007,49
2008,56
2009,48
2010,42
2011,46
2012,44
