year,Elmore (F),Elmore (M)
1880,0.000000,0.000045
1881,0.000000,0.000026
1882,0.000000,0.000059
1883,0.000000,0.000046
1884,0.000000,0.000045
1885,0.000000,0.000075
1886,0.000000,0.000043
1887,0.000000,0.000040
1888,0.000000,0.000053
1889,0.000000,0.000048
1890,0.000000,0.000040
1891,0.000000,0.000063
1892,0.000000,0.000042
1893,0.000000,0.000028
1894,0.000000,0.000032
1895,0.000000,0.000054
1896,0.000000,0.000067
1897,0.000000,0.000040
1898,0.000000,0.000052
1899,0.000000,0.000038
1900,0.000000,0.000069
1901,0.000000,0.000026
1902,0.000000,0.000034
1903,0.000000,0.000042
1904,0.000000,0.000047
1905,0.000000,0.000059
1906,0.000000,0.000044
1907,0.000000,0.000056
1908,0.000000,0.000041
1909,0.000000,0.000055
1910,0.000000,0.000052
1911,0.000000,0.000037
1912,0.000000,0.000057
1913,0.000000,0.000056
1914,0.000000,0.000056
1915,0.000000,0.000065
1916,0.000000,0.000044
1917,0.000000,0.000048
1918,0.000000,0.000060
1919,0.000000,0.000048
1920,0.000000,0.000038
1921,0.000000,0.000041
1922,0.000000,0.000050
1923,0.000000,0.000047
1924,0.000000,0.000037
1925,0.000000,0.000038
1926,0.000002,0.000036
1927,0.000002,0.000029
1928,0.000000,0.000026
1929,0.000000,0.000029
1930,0.000000,0.000031
1931,0.000000,0.000032
1932,0.000000,0.000028
1933,0.000000,0.000033
1934,0.000000,0.000023
1935,0.000000,0.000024
1936,0.000000,0.000026
1937,0.000000,0.000021
1938,0.000000,0.000020
1939,0.000000,0.000022
1940,0.000000,0.000016
1941,0.000000,0.000017
1942,0.000000,0.000015
1943,0.000000,0.000021
1944,0.000000,0.000021
1945,0.000000,0.000019
1946,0.000000,0.000014
1947,0.000000,0.000013
1948,0.000000,0.000015
1949,0.000000,0.000016
1950,0.000000,0.000012
1951,0.000000,0.000012
1952,0.000000,0.000011
1953,0.000000,0.000013
1954,0.000000,0.000012
1955,0.000000,0.000011
1956,0.000000,0.000008
1957,0.000000,0.000006
1958,0.000000,0.000009
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000006
1964,0.000000,0.000003
1965,0.000000,0.000004
1966,0.000000,0.000006
1967,0.000000,0.000003
1968,0.000000,0.000004
1969,0.000000,0.000002
1970,0.000000,0.000004
1971,0.000000,0.000006
1972,0.000000,0.000004
1973,0.000000,0.000007
1974,0.000000,0.000005
1975,0.000000,0.000006
1976,0.000000,0.000002
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000004
1980,0.000000,0.000002
1981,0.000000,0.000002
1982,0.000000,0.000003
1983,0.000000,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000002
1986,0.000000,0.000002
1987,0.000000,0.000000
1988,0.000000,0.000001
1989,0.000000,0.000002
1990,0.000000,0.000002
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000001
1996,0.000000,0.000001
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000001
2003,0.000000,0.000000
2004,0.000000,0.000002
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
