year,Ezra (F),Ezra (M)
1880,0.000000,0.000194
1881,0.000000,0.000228
1882,0.000000,0.000185
1883,0.000000,0.000129
1884,0.000000,0.000177
1885,0.000000,0.000100
1886,0.000000,0.000153
1887,0.000000,0.000133
1888,0.000000,0.000107
1889,0.000000,0.000114
1890,0.000000,0.000143
1891,0.000000,0.000133
1892,0.000000,0.000132
1893,0.000000,0.000117
1894,0.000000,0.000130
1895,0.000000,0.000128
1896,0.000000,0.000126
1897,0.000000,0.000124
1898,0.000000,0.000105
1899,0.000000,0.000074
1900,0.000000,0.000093
1901,0.000000,0.000058
1902,0.000000,0.000067
1903,0.000000,0.000087
1904,0.000000,0.000084
1905,0.000000,0.000075
1906,0.000000,0.000072
1907,0.000000,0.000067
1908,0.000000,0.000051
1909,0.000000,0.000059
1910,0.000000,0.000071
1911,0.000000,0.000071
1912,0.000000,0.000090
1913,0.000000,0.000074
1914,0.000000,0.000076
1915,0.000004,0.000074
1916,0.000000,0.000079
1917,0.000000,0.000070
1918,0.000003,0.000065
1919,0.000000,0.000068
1920,0.000000,0.000063
1921,0.000003,0.000070
1922,0.000000,0.000065
1923,0.000000,0.000072
1924,0.000002,0.000060
1925,0.000000,0.000057
1926,0.000000,0.000061
1927,0.000003,0.000049
1928,0.000000,0.000052
1929,0.000000,0.000048
1930,0.000000,0.000049
1931,0.000000,0.000040
1932,0.000000,0.000039
1933,0.000000,0.000044
1934,0.000000,0.000051
1935,0.000000,0.000037
1936,0.000000,0.000047
1937,0.000000,0.000034
1938,0.000000,0.000024
1939,0.000000,0.000022
1940,0.000000,0.000026
1941,0.000000,0.000020
1942,0.000000,0.000022
1943,0.000000,0.000021
1944,0.000000,0.000024
1945,0.000000,0.000019
1946,0.000000,0.000016
1947,0.000000,0.000016
1948,0.000000,0.000017
1949,0.000000,0.000019
1950,0.000000,0.000021
1951,0.000000,0.000021
1952,0.000000,0.000015
1953,0.000000,0.000020
1954,0.000000,0.000015
1955,0.000000,0.000017
1956,0.000000,0.000017
1957,0.000000,0.000017
1958,0.000000,0.000015
1959,0.000000,0.000014
1960,0.000000,0.000015
1961,0.000000,0.000015
1962,0.000000,0.000014
1963,0.000000,0.000017
1964,0.000000,0.000012
1965,0.000000,0.000016
1966,0.000000,0.000016
1967,0.000000,0.000015
1968,0.000000,0.000016
1969,0.000000,0.000021
1970,0.000000,0.000019
1971,0.000000,0.000028
1972,0.000000,0.000033
1973,0.000003,0.000040
1974,0.000000,0.000040
1975,0.000002,0.000048
1976,0.000003,0.000049
1977,0.000002,0.000050
1978,0.000000,0.000048
1979,0.000000,0.000047
1980,0.000002,0.000048
1981,0.000003,0.000054
1982,0.000000,0.000051
1983,0.000000,0.000042
1984,0.000000,0.000044
1985,0.000002,0.000048
1986,0.000000,0.000046
1987,0.000002,0.000055
1988,0.000002,0.000054
1989,0.000000,0.000049
1990,0.000002,0.000045
1991,0.000002,0.000047
1992,0.000003,0.000046
1993,0.000002,0.000059
1994,0.000002,0.000061
1995,0.000004,0.000071
1996,0.000005,0.000093
1997,0.000007,0.000098
1998,0.000006,0.000123
1999,0.000009,0.000125
2000,0.000010,0.000150
2001,0.000011,0.000153
2002,0.000009,0.000152
2003,0.000011,0.000171
2004,0.000014,0.000191
2005,0.000015,0.000221
2006,0.000014,0.000230
2007,0.000019,0.000238
2008,0.000021,0.000296
2009,0.000024,0.000352
2010,0.000024,0.000392
2011,0.000028,0.000481
2012,0.000033,0.000571
2013,0.000041,0.000756
2014,0.000043,0.000924
2015,0.000056,0.001172
2016,0.000055,0.001331
2017,0.000058,0.001494
2018,0.000078,0.001721
2019,0.000094,0.001887
2020,0.000116,0.002041
