year,Ellene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,7
1910,0
1911,12
1912,9
1913,11
1914,16
1915,18
1916,26
1917,22
1918,20
1919,18
1920,25
1921,24
1922,27
1923,26
1924,32
1925,36
1926,20
1927,18
1928,18
1929,22
1930,24
1931,10
1932,14
1933,15
1934,17
1935,16
1936,22
1937,17
1938,15
1939,12
1940,9
1941,18
1942,13
1943,9
1944,21
1945,24
1946,15
1947,24
1948,13
1949,14
1950,11
1951,12
1952,8
1953,10
1954,12
1955,0
1956,5
1957,6
1958,11
1959,9
1960,7
1961,9
1962,7
1963,5
1964,0
1965,10
1966,7
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
