year,Eduardo (F),Eduardo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000033
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000022
1894,0.000000,0.000038
1895,0.000000,0.000017
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000024
1901,0.000000,0.000029
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000019
1907,0.000000,0.000019
1908,0.000000,0.000023
1909,0.000000,0.000023
1910,0.000000,0.000014
1911,0.000000,0.000023
1912,0.000000,0.000017
1913,0.000000,0.000020
1914,0.000000,0.000023
1915,0.000000,0.000021
1916,0.000000,0.000019
1917,0.000000,0.000017
1918,0.000000,0.000021
1919,0.000000,0.000025
1920,0.000000,0.000024
1921,0.000000,0.000025
1922,0.000000,0.000043
1923,0.000000,0.000036
1924,0.000000,0.000031
1925,0.000000,0.000030
1926,0.000000,0.000033
1927,0.000000,0.000037
1928,0.000000,0.000057
1929,0.000000,0.000044
1930,0.000000,0.000046
1931,0.000000,0.000043
1932,0.000000,0.000038
1933,0.000000,0.000032
1934,0.000000,0.000045
1935,0.000000,0.000036
1936,0.000000,0.000036
1937,0.000000,0.000037
1938,0.000000,0.000033
1939,0.000000,0.000032
1940,0.000000,0.000028
1941,0.000000,0.000031
1942,0.000000,0.000023
1943,0.000000,0.000032
1944,0.000000,0.000033
1945,0.000000,0.000035
1946,0.000000,0.000038
1947,0.000000,0.000032
1948,0.000000,0.000036
1949,0.000000,0.000040
1950,0.000000,0.000042
1951,0.000000,0.000047
1952,0.000000,0.000046
1953,0.000000,0.000048
1954,0.000000,0.000050
1955,0.000000,0.000060
1956,0.000000,0.000057
1957,0.000000,0.000062
1958,0.000000,0.000076
1959,0.000000,0.000076
1960,0.000001,0.000089
1961,0.000000,0.000089
1962,0.000000,0.000118
1963,0.000000,0.000112
1964,0.000000,0.000122
1965,0.000000,0.000144
1966,0.000000,0.000151
1967,0.000000,0.000155
1968,0.000000,0.000175
1969,0.000000,0.000192
1970,0.000002,0.000210
1971,0.000002,0.000214
1972,0.000000,0.000226
1973,0.000002,0.000295
1974,0.000003,0.000266
1975,0.000002,0.000279
1976,0.000002,0.000328
1977,0.000004,0.000301
1978,0.000003,0.000315
1979,0.000002,0.000291
1980,0.000003,0.000305
1981,0.000002,0.000273
1982,0.000004,0.000284
1983,0.000003,0.000281
1984,0.000001,0.000287
1985,0.000003,0.000294
1986,0.000003,0.000287
1987,0.000003,0.000299
1988,0.000003,0.000375
1989,0.000004,0.000504
1990,0.000005,0.000547
1991,0.000006,0.000647
1992,0.000004,0.000667
1993,0.000006,0.000741
1994,0.000006,0.000881
1995,0.000004,0.000861
1996,0.000003,0.000827
1997,0.000002,0.000724
1998,0.000003,0.000676
1999,0.000003,0.000712
2000,0.000003,0.000836
2001,0.000005,0.000914
2002,0.000003,0.000792
2003,0.000002,0.000821
2004,0.000002,0.000838
2005,0.000003,0.000827
2006,0.000001,0.000839
2007,0.000002,0.000712
2008,0.000001,0.000731
2009,0.000002,0.000875
2010,0.000002,0.000690
2011,0.000000,0.000571
2012,0.000000,0.000510
