year,Elberta
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,5
1893,0
1894,6
1895,6
1896,5
1897,9
1898,10
1899,9
1900,21
1901,14
1902,15
1903,17
1904,20
1905,20
1906,18
1907,22
1908,15
1909,22
1910,23
1911,24
1912,33
1913,43
1914,43
1915,41
1916,61
1917,56
1918,55
1919,52
1920,58
1921,48
1922,45
1923,52
1924,42
1925,37
1926,40
1927,46
1928,45
1929,48
1930,28
1931,25
1932,30
1933,30
1934,31
1935,29
1936,24
1937,35
1938,14
1939,27
1940,22
1941,19
1942,22
1943,24
1944,25
1945,21
1946,15
1947,21
1948,12
1949,11
1950,14
1951,11
1952,15
1953,13
1954,11
1955,9
1956,7
1957,8
1958,5
1959,5
1960,11
1961,5
1962,8
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,8
1972,0
1973,0
1974,7
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
