year,Epifanio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,0
1887,0
1888,8
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,11
1913,13
1914,5
1915,18
1916,23
1917,23
1918,8
1919,18
1920,25
1921,24
1922,29
1923,26
1924,43
1925,25
1926,26
1927,40
1928,34
1929,27
1930,44
1931,33
1932,11
1933,34
1934,23
1935,25
1936,23
1937,16
1938,24
1939,17
1940,11
1941,26
1942,17
1943,24
1944,27
1945,16
1946,28
1947,20
1948,20
1949,21
1950,17
1951,20
1952,21
1953,17
1954,23
1955,11
1956,13
1957,34
1958,26
1959,27
1960,18
1961,11
1962,24
1963,21
1964,16
1965,16
1966,14
1967,15
1968,17
1969,19
1970,19
1971,16
1972,18
1973,13
1974,16
1975,30
1976,28
1977,14
1978,25
1979,22
1980,22
1981,19
1982,26
1983,12
1984,21
1985,16
1986,14
1987,17
1988,21
1989,13
1990,19
1991,13
1992,15
1993,13
1994,19
1995,11
1996,13
1997,8
1998,17
1999,11
2000,10
2001,11
2002,13
2003,11
2004,16
2005,13
2006,5
2007,9
2008,14
2009,7
2010,0
2011,6
2012,7
