year,Earleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,5
1914,12
1915,12
1916,14
1917,11
1918,18
1919,13
1920,25
1921,22
1922,34
1923,28
1924,28
1925,38
1926,34
1927,53
1928,26
1929,36
1930,30
1931,27
1932,37
1933,30
1934,15
1935,21
1936,28
1937,26
1938,32
1939,30
1940,25
1941,32
1942,48
1943,31
1944,42
1945,39
1946,44
1947,36
1948,48
1949,40
1950,31
1951,29
1952,24
1953,38
1954,28
1955,25
1956,21
1957,25
1958,15
1959,14
1960,14
1961,17
1962,13
1963,13
1964,19
1965,6
1966,16
1967,10
1968,11
1969,0
1970,8
1971,9
1972,5
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,9
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
