year,Elta
1880,0
1881,10
1882,8
1883,9
1884,0
1885,7
1886,10
1887,10
1888,14
1889,9
1890,14
1891,9
1892,19
1893,15
1894,13
1895,18
1896,16
1897,16
1898,24
1899,18
1900,20
1901,13
1902,10
1903,9
1904,20
1905,21
1906,17
1907,24
1908,22
1909,10
1910,14
1911,19
1912,29
1913,27
1914,23
1915,43
1916,42
1917,37
1918,43
1919,42
1920,29
1921,33
1922,40
1923,31
1924,42
1925,31
1926,28
1927,34
1928,28
1929,17
1930,26
1931,17
1932,20
1933,25
1934,19
1935,21
1936,12
1937,23
1938,14
1939,19
1940,13
1941,15
1942,10
1943,11
1944,16
1945,17
1946,10
1947,15
1948,10
1949,14
1950,7
1951,0
1952,7
1953,7
1954,0
1955,0
1956,0
1957,5
1958,0
1959,5
1960,5
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
