year,Erlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,9
1904,0
1905,0
1906,0
1907,6
1908,6
1909,6
1910,7
1911,8
1912,16
1913,17
1914,31
1915,39
1916,48
1917,37
1918,41
1919,43
1920,62
1921,61
1922,31
1923,54
1924,52
1925,62
1926,53
1927,64
1928,52
1929,66
1930,74
1931,60
1932,58
1933,70
1934,57
1935,45
1936,61
1937,57
1938,42
1939,54
1940,43
1941,46
1942,54
1943,37
1944,54
1945,35
1946,37
1947,42
1948,41
1949,31
1950,33
1951,34
1952,30
1953,35
1954,33
1955,26
1956,28
1957,17
1958,20
1959,25
1960,14
1961,19
1962,18
1963,11
1964,6
1965,11
1966,7
1967,8
1968,9
1969,7
1970,0
1971,0
1972,6
1973,0
1974,6
1975,9
1976,0
1977,7
1978,0
1979,0
1980,0
1981,12
1982,8
1983,9
1984,6
1985,0
1986,0
1987,0
1988,8
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
