year,Eulalia
1880,7
1881,7
1882,9
1883,0
1884,15
1885,0
1886,14
1887,9
1888,16
1889,6
1890,13
1891,20
1892,19
1893,55
1894,39
1895,34
1896,28
1897,31
1898,26
1899,26
1900,19
1901,18
1902,24
1903,29
1904,31
1905,24
1906,30
1907,33
1908,29
1909,38
1910,38
1911,42
1912,44
1913,58
1914,69
1915,81
1916,97
1917,82
1918,82
1919,100
1920,103
1921,108
1922,99
1923,83
1924,76
1925,95
1926,81
1927,84
1928,58
1929,67
1930,81
1931,74
1932,75
1933,57
1934,46
1935,43
1936,40
1937,33
1938,53
1939,21
1940,40
1941,37
1942,33
1943,27
1944,24
1945,27
1946,34
1947,24
1948,21
1949,33
1950,26
1951,32
1952,27
1953,26
1954,20
1955,15
1956,21
1957,21
1958,24
1959,28
1960,29
1961,28
1962,18
1963,19
1964,23
1965,14
1966,17
1967,14
1968,18
1969,13
1970,17
1971,12
1972,17
1973,17
1974,12
1975,21
1976,20
1977,16
1978,16
1979,22
1980,18
1981,15
1982,9
1983,8
1984,10
1985,14
1986,11
1987,13
1988,18
1989,17
1990,20
1991,15
1992,26
1993,14
1994,18
1995,16
1996,13
1997,20
1998,16
1999,21
2000,20
2001,23
2002,16
2003,21
2004,17
2005,20
2006,29
2007,30
2008,30
2009,37
2010,40
2011,25
2012,27
