year,Elishia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,0
1964,6
1965,6
1966,5
1967,0
1968,9
1969,5
1970,5
1971,12
1972,0
1973,12
1974,15
1975,14
1976,10
1977,23
1978,20
1979,27
1980,29
1981,34
1982,24
1983,30
1984,22
1985,20
1986,25
1987,19
1988,29
1989,20
1990,11
1991,19
1992,16
1993,11
1994,15
1995,8
1996,6
1997,16
1998,9
1999,7
2000,0
2001,8
2002,0
2003,8
2004,6
2005,8
2006,6
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
