year,Evelin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,0
1915,0
1916,7
1917,0
1918,9
1919,6
1920,7
1921,10
1922,8
1923,10
1924,10
1925,5
1926,5
1927,0
1928,0
1929,7
1930,0
1931,6
1932,0
1933,0
1934,0
1935,6
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,6
1954,0
1955,0
1956,5
1957,0
1958,0
1959,10
1960,9
1961,14
1962,14
1963,10
1964,11
1965,9
1966,10
1967,17
1968,10
1969,17
1970,11
1971,14
1972,13
1973,13
1974,16
1975,11
1976,21
1977,19
1978,14
1979,16
1980,14
1981,25
1982,68
1983,47
1984,45
1985,49
1986,42
1987,62
1988,62
1989,76
1990,97
1991,106
1992,115
1993,107
1994,154
1995,161
1996,153
1997,150
1998,151
1999,196
2000,208
2001,211
2002,316
2003,343
2004,334
2005,396
2006,422
2007,406
2008,350
2009,312
2010,256
2011,199
2012,170
