year,Elizabet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,9
1959,0
1960,6
1961,8
1962,10
1963,7
1964,11
1965,10
1966,7
1967,13
1968,8
1969,13
1970,14
1971,13
1972,18
1973,22
1974,15
1975,16
1976,10
1977,18
1978,16
1979,22
1980,23
1981,29
1982,26
1983,18
1984,11
1985,25
1986,30
1987,20
1988,19
1989,445
1990,36
1991,45
1992,28
1993,41
1994,40
1995,44
1996,47
1997,38
1998,20
1999,43
2000,34
2001,35
2002,27
2003,38
2004,32
2005,31
2006,27
2007,22
2008,31
2009,32
2010,24
2011,22
2012,19
