year,Evelynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,11
1915,11
1916,10
1917,15
1918,15
1919,11
1920,21
1921,19
1922,18
1923,29
1924,23
1925,21
1926,12
1927,16
1928,18
1929,10
1930,12
1931,15
1932,8
1933,9
1934,19
1935,16
1936,10
1937,10
1938,11
1939,12
1940,12
1941,13
1942,20
1943,15
1944,23
1945,12
1946,16
1947,19
1948,15
1949,18
1950,14
1951,9
1952,10
1953,8
1954,18
1955,13
1956,22
1957,16
1958,17
1959,17
1960,12
1961,12
1962,10
1963,16
1964,14
1965,11
1966,7
1967,6
1968,12
1969,10
1970,6
1971,7
1972,13
1973,12
1974,9
1975,5
1976,7
1977,0
1978,11
1979,10
1980,11
1981,15
1982,15
1983,11
1984,9
1985,16
1986,13
1987,9
1988,14
1989,18
1990,21
1991,21
1992,21
1993,25
1994,18
1995,27
1996,25
1997,32
1998,31
1999,50
2000,57
2001,71
2002,119
2003,116
2004,122
2005,160
2006,209
2007,233
2008,247
2009,302
2010,385
2011,515
2012,530
