year,Edgardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,6
1948,13
1949,6
1950,7
1951,14
1952,18
1953,19
1954,28
1955,27
1956,31
1957,42
1958,47
1959,39
1960,56
1961,53
1962,65
1963,47
1964,47
1965,57
1966,77
1967,76
1968,73
1969,81
1970,94
1971,100
1972,78
1973,84
1974,92
1975,74
1976,90
1977,88
1978,83
1979,79
1980,90
1981,95
1982,67
1983,81
1984,92
1985,89
1986,82
1987,102
1988,99
1989,136
1990,170
1991,197
1992,225
1993,197
1994,159
1995,149
1996,138
1997,159
1998,130
1999,115
2000,113
2001,104
2002,100
2003,111
2004,118
2005,92
2006,88
2007,83
2008,70
2009,68
2010,76
2011,61
2012,36
