year,Eleanore
1880,13
1881,5
1882,7
1883,11
1884,8
1885,12
1886,8
1887,15
1888,18
1889,10
1890,21
1891,23
1892,22
1893,24
1894,28
1895,22
1896,31
1897,33
1898,46
1899,28
1900,37
1901,43
1902,42
1903,52
1904,66
1905,56
1906,67
1907,71
1908,91
1909,88
1910,144
1911,159
1912,253
1913,313
1914,438
1915,570
1916,724
1917,708
1918,761
1919,737
1920,737
1921,767
1922,724
1923,728
1924,720
1925,653
1926,613
1927,535
1928,454
1929,388
1930,362
1931,324
1932,326
1933,278
1934,259
1935,238
1936,254
1937,214
1938,192
1939,181
1940,168
1941,138
1942,148
1943,113
1944,70
1945,69
1946,71
1947,70
1948,50
1949,66
1950,58
1951,43
1952,53
1953,44
1954,52
1955,37
1956,41
1957,42
1958,31
1959,33
1960,29
1961,36
1962,26
1963,27
1964,20
1965,10
1966,9
1967,11
1968,16
1969,14
1970,21
1971,9
1972,18
1973,7
1974,11
1975,13
1976,12
1977,12
1978,13
1979,21
1980,21
1981,14
1982,11
1983,6
1984,10
1985,13
1986,15
1987,16
1988,11
1989,22
1990,11
1991,21
1992,16
1993,28
1994,19
1995,17
1996,25
1997,20
1998,28
1999,30
2000,40
2001,26
2002,24
2003,42
2004,26
2005,41
2006,40
2007,43
2008,50
2009,54
2010,59
2011,48
2012,42
