year,Edison (F),Edison (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000024
1893,0.000000,0.000037
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000020
1897,0.000000,0.000035
1898,0.000000,0.000016
1899,0.000000,0.000021
1900,0.000000,0.000011
1901,0.000000,0.000020
1902,0.000000,0.000036
1903,0.000000,0.000000
1904,0.000000,0.000035
1905,0.000000,0.000024
1906,0.000000,0.000023
1907,0.000000,0.000028
1908,0.000000,0.000020
1909,0.000000,0.000031
1910,0.000000,0.000029
1911,0.000000,0.000028
1912,0.000000,0.000044
1913,0.000000,0.000041
1914,0.000000,0.000035
1915,0.000000,0.000044
1916,0.000000,0.000043
1917,0.000000,0.000059
1918,0.000000,0.000049
1919,0.000000,0.000040
1920,0.000000,0.000039
1921,0.000000,0.000037
1922,0.000000,0.000045
1923,0.000000,0.000038
1924,0.000000,0.000034
1925,0.000000,0.000025
1926,0.000000,0.000027
1927,0.000000,0.000034
1928,0.000000,0.000026
1929,0.000000,0.000030
1930,0.000000,0.000027
1931,0.000000,0.000037
1932,0.000000,0.000027
1933,0.000000,0.000022
1934,0.000000,0.000023
1935,0.000000,0.000025
1936,0.000000,0.000020
1937,0.000000,0.000018
1938,0.000000,0.000019
1939,0.000000,0.000020
1940,0.000000,0.000019
1941,0.000000,0.000022
1942,0.000000,0.000018
1943,0.000000,0.000017
1944,0.000000,0.000016
1945,0.000000,0.000018
1946,0.000000,0.000014
1947,0.000000,0.000013
1948,0.000000,0.000014
1949,0.000000,0.000013
1950,0.000000,0.000016
1951,0.000000,0.000013
1952,0.000000,0.000015
1953,0.000000,0.000014
1954,0.000000,0.000014
1955,0.000000,0.000014
1956,0.000000,0.000015
1957,0.000000,0.000010
1958,0.000000,0.000011
1959,0.000000,0.000016
1960,0.000000,0.000012
1961,0.000000,0.000014
1962,0.000000,0.000013
1963,0.000000,0.000009
1964,0.000000,0.000013
1965,0.000000,0.000010
1966,0.000000,0.000014
1967,0.000000,0.000011
1968,0.000000,0.000010
1969,0.000000,0.000008
1970,0.000000,0.000011
1971,0.000000,0.000011
1972,0.000000,0.000009
1973,0.000000,0.000012
1974,0.000000,0.000014
1975,0.000000,0.000011
1976,0.000000,0.000010
1977,0.000000,0.000008
1978,0.000000,0.000011
1979,0.000000,0.000009
1980,0.000000,0.000009
1981,0.000000,0.000011
1982,0.000000,0.000009
1983,0.000000,0.000011
1984,0.000000,0.000010
1985,0.000000,0.000012
1986,0.000000,0.000012
1987,0.000000,0.000014
1988,0.000000,0.000018
1989,0.000000,0.000012
1990,0.000000,0.000013
1991,0.000000,0.000015
1992,0.000000,0.000016
1993,0.000000,0.000013
1994,0.000000,0.000014
1995,0.000000,0.000013
1996,0.000000,0.000017
1997,0.000000,0.000018
1998,0.000000,0.000022
1999,0.000000,0.000021
2000,0.000000,0.000021
2001,0.000000,0.000028
2002,0.000000,0.000033
2003,0.000001,0.000038
2004,0.000000,0.000042
2005,0.000000,0.000044
2006,0.000000,0.000049
2007,0.000000,0.000051
2008,0.000000,0.000046
2009,0.000002,0.000051
2010,0.000002,0.000062
2011,0.000003,0.000080
2012,0.000004,0.000083
2013,0.000003,0.000101
2014,0.000003,0.000098
2015,0.000003,0.000114
2016,0.000003,0.000131
2017,0.000004,0.000139
2018,0.000009,0.000149
2019,0.000004,0.000134
2020,0.000005,0.000137
