year,Ena
1880,5
1881,5
1882,0
1883,0
1884,13
1885,0
1886,5
1887,8
1888,10
1889,10
1890,7
1891,8
1892,8
1893,8
1894,12
1895,12
1896,10
1897,9
1898,10
1899,5
1900,15
1901,13
1902,12
1903,9
1904,8
1905,16
1906,89
1907,52
1908,27
1909,33
1910,28
1911,31
1912,31
1913,39
1914,37
1915,48
1916,43
1917,40
1918,42
1919,36
1920,57
1921,43
1922,46
1923,37
1924,41
1925,48
1926,41
1927,33
1928,38
1929,43
1930,25
1931,25
1932,28
1933,20
1934,22
1935,17
1936,17
1937,19
1938,20
1939,18
1940,16
1941,9
1942,10
1943,22
1944,12
1945,12
1946,15
1947,13
1948,19
1949,14
1950,10
1951,20
1952,13
1953,16
1954,22
1955,20
1956,20
1957,24
1958,20
1959,29
1960,25
1961,18
1962,20
1963,22
1964,22
1965,22
1966,30
1967,24
1968,28
1969,33
1970,40
1971,30
1972,39
1973,33
1974,25
1975,22
1976,32
1977,26
1978,22
1979,18
1980,20
1981,28
1982,19
1983,21
1984,13
1985,15
1986,9
1987,19
1988,12
1989,20
1990,13
1991,20
1992,20
1993,12
1994,17
1995,16
1996,13
1997,14
1998,22
1999,24
2000,24
2001,23
2002,34
2003,28
2004,40
2005,27
2006,31
2007,33
2008,29
2009,20
2010,29
2011,31
2012,33
