year,Eliza (F),Eliza (M)
1880,0.001251,0.000030
1881,0.001235,0.000000
1882,0.001264,0.000000
1883,0.001263,0.000000
1884,0.001150,0.000000
1885,0.001246,0.000000
1886,0.001124,0.000000
1887,0.001172,0.000000
1888,0.001145,0.000000
1889,0.001062,0.000000
1890,0.000985,0.000000
1891,0.000977,0.000000
1892,0.000852,0.000000
1893,0.000836,0.000000
1894,0.000877,0.000000
1895,0.000778,0.000000
1896,0.000727,0.000000
1897,0.000703,0.000000
1898,0.000679,0.000000
1899,0.000755,0.000000
1900,0.000744,0.000000
1901,0.000599,0.000000
1902,0.000644,0.000000
1903,0.000648,0.000000
1904,0.000506,0.000000
1905,0.000524,0.000000
1906,0.000488,0.000000
1907,0.000499,0.000000
1908,0.000497,0.000010
1909,0.000487,0.000000
1910,0.000462,0.000000
1911,0.000400,0.000000
1912,0.000301,0.000006
1913,0.000277,0.000006
1914,0.000220,0.000000
1915,0.000194,0.000005
1916,0.000170,0.000004
1917,0.000188,0.000004
1918,0.000178,0.000004
1919,0.000184,0.000003
1920,0.000173,0.000000
1921,0.000151,0.000000
1922,0.000158,0.000003
1923,0.000145,0.000003
1924,0.000151,0.000000
1925,0.000144,0.000000
1926,0.000135,0.000003
1927,0.000123,0.000004
1928,0.000106,0.000004
1929,0.000118,0.000002
1930,0.000111,0.000004
1931,0.000097,0.000000
1932,0.000113,0.000002
1933,0.000099,0.000003
1934,0.000084,0.000004
1935,0.000076,0.000003
1936,0.000070,0.000000
1937,0.000062,0.000003
1938,0.000076,0.000000
1939,0.000069,0.000000
1940,0.000064,0.000000
1941,0.000060,0.000000
1942,0.000055,0.000002
1943,0.000049,0.000000
1944,0.000050,0.000000
1945,0.000060,0.000000
1946,0.000042,0.000000
1947,0.000033,0.000000
1948,0.000034,0.000000
1949,0.000041,0.000000
1950,0.000035,0.000000
1951,0.000035,0.000000
1952,0.000027,0.000000
1953,0.000025,0.000000
1954,0.000022,0.000000
1955,0.000030,0.000000
1956,0.000026,0.000000
1957,0.000027,0.000001
1958,0.000022,0.000001
1959,0.000021,0.000000
1960,0.000024,0.000000
1961,0.000022,0.000000
1962,0.000023,0.000000
1963,0.000025,0.000000
1964,0.000022,0.000000
1965,0.000026,0.000000
1966,0.000032,0.000000
1967,0.000030,0.000000
1968,0.000033,0.000000
1969,0.000035,0.000000
1970,0.000044,0.000000
1971,0.000034,0.000000
1972,0.000046,0.000000
1973,0.000051,0.000000
1974,0.000046,0.000000
1975,0.000049,0.000000
1976,0.000065,0.000000
1977,0.000070,0.000000
1978,0.000064,0.000000
1979,0.000073,0.000000
1980,0.000079,0.000001
1981,0.000080,0.000002
1982,0.000086,0.000000
1983,0.000081,0.000000
1984,0.000070,0.000002
1985,0.000068,0.000000
1986,0.000065,0.000000
1987,0.000081,0.000000
1988,0.000089,0.000000
1989,0.000079,0.000000
1990,0.000107,0.000000
1991,0.000099,0.000000
1992,0.000088,0.000000
1993,0.000107,0.000000
1994,0.000102,0.000000
1995,0.000138,0.000000
1996,0.000148,0.000000
1997,0.000157,0.000000
1998,0.000156,0.000000
1999,0.000171,0.000000
2000,0.000201,0.000000
2001,0.000215,0.000000
2002,0.000222,0.000000
2003,0.000248,0.000000
2004,0.000259,0.000000
2005,0.000272,0.000000
2006,0.000257,0.000000
2007,0.000252,0.000000
2008,0.000262,0.000000
2009,0.000310,0.000000
2010,0.000354,0.000000
2011,0.000344,0.000000
2012,0.000388,0.000000
2013,0.000445,0.000000
2014,0.000433,0.000000
2015,0.000496,0.000000
2016,0.000509,0.000000
2017,0.000583,0.000000
2018,0.000645,0.000001
2019,0.000709,0.000000
2020,0.000706,0.000000
