year,Ellsworth (F),Ellsworth (M)
1880,0.000000,0.000055
1881,0.000000,0.000078
1882,0.000000,0.000099
1883,0.000000,0.000138
1884,0.000000,0.000049
1885,0.000000,0.000066
1886,0.000000,0.000047
1887,0.000000,0.000065
1888,0.000000,0.000083
1889,0.000000,0.000059
1890,0.000000,0.000073
1891,0.000000,0.000052
1892,0.000000,0.000084
1893,0.000000,0.000049
1894,0.000000,0.000094
1895,0.000000,0.000105
1896,0.000000,0.000087
1897,0.000000,0.000081
1898,0.000000,0.000055
1899,0.000000,0.000088
1900,0.000000,0.000060
1901,0.000000,0.000064
1902,0.000000,0.000067
1903,0.000000,0.000050
1904,0.000000,0.000089
1905,0.000000,0.000073
1906,0.000000,0.000086
1907,0.000000,0.000080
1908,0.000000,0.000090
1909,0.000000,0.000084
1910,0.000000,0.000074
1911,0.000000,0.000090
1912,0.000000,0.000140
1913,0.000000,0.000120
1914,0.000000,0.000155
1915,0.000000,0.000141
1916,0.000000,0.000130
1917,0.000000,0.000135
1918,0.000000,0.000138
1919,0.000000,0.000109
1920,0.000000,0.000108
1921,0.000000,0.000118
1922,0.000000,0.000095
1923,0.000000,0.000102
1924,0.000000,0.000090
1925,0.000000,0.000094
1926,0.000000,0.000086
1927,0.000000,0.000078
1928,0.000000,0.000071
1929,0.000000,0.000076
1930,0.000000,0.000056
1931,0.000000,0.000056
1932,0.000000,0.000054
1933,0.000000,0.000055
1934,0.000000,0.000047
1935,0.000000,0.000050
1936,0.000000,0.000051
1937,0.000000,0.000045
1938,0.000000,0.000040
1939,0.000000,0.000040
1940,0.000000,0.000030
1941,0.000000,0.000031
1942,0.000000,0.000025
1943,0.000000,0.000029
1944,0.000000,0.000026
1945,0.000000,0.000022
1946,0.000000,0.000022
1947,0.000000,0.000019
1948,0.000000,0.000018
1949,0.000000,0.000011
1950,0.000000,0.000015
1951,0.000000,0.000013
1952,0.000000,0.000012
1953,0.000000,0.000014
1954,0.000000,0.000009
1955,0.000000,0.000010
1956,0.000000,0.000008
1957,0.000000,0.000010
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000008
1961,0.000000,0.000009
1962,0.000000,0.000004
1963,0.000000,0.000005
1964,0.000000,0.000004
1965,0.000000,0.000006
1966,0.000000,0.000003
1967,0.000000,0.000005
1968,0.000000,0.000007
1969,0.000000,0.000004
1970,0.000000,0.000003
1971,0.000000,0.000004
1972,0.000000,0.000004
1973,0.000000,0.000003
1974,0.000000,0.000004
1975,0.000000,0.000002
1976,0.000000,0.000000
1977,0.000000,0.000003
1978,0.000000,0.000006
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000004
1982,0.000000,0.000003
1983,0.000000,0.000000
1984,0.000000,0.000002
1985,0.000000,0.000003
1986,0.000000,0.000001
1987,0.000000,0.000001
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000002
1992,0.000000,0.000002
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000001
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000001
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000002
