year,Esequiel
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,10
1915,11
1916,9
1917,16
1918,25
1919,20
1920,23
1921,17
1922,13
1923,13
1924,19
1925,16
1926,15
1927,16
1928,25
1929,15
1930,14
1931,21
1932,17
1933,17
1934,19
1935,11
1936,13
1937,12
1938,12
1939,15
1940,16
1941,15
1942,17
1943,21
1944,28
1945,18
1946,35
1947,21
1948,20
1949,22
1950,26
1951,24
1952,18
1953,27
1954,22
1955,23
1956,23
1957,25
1958,14
1959,18
1960,19
1961,17
1962,19
1963,17
1964,23
1965,29
1966,21
1967,23
1968,26
1969,19
1970,29
1971,28
1972,41
1973,32
1974,59
1975,43
1976,47
1977,33
1978,30
1979,36
1980,44
1981,52
1982,42
1983,37
1984,48
1985,39
1986,34
1987,39
1988,40
1989,24
1990,41
1991,37
1992,56
1993,35
1994,40
1995,48
1996,51
1997,49
1998,42
1999,48
2000,51
2001,34
2002,39
2003,22
2004,42
2005,33
2006,37
2007,32
2008,36
2009,30
2010,16
2011,22
2012,18
