year,Elliott (F),Elliott (M)
1880,0.000000,0.000104
1881,0.000000,0.000114
1882,0.000000,0.000095
1883,0.000000,0.000120
1884,0.000000,0.000090
1885,0.000000,0.000054
1886,0.000000,0.000086
1887,0.000000,0.000053
1888,0.000000,0.000087
1889,0.000000,0.000038
1890,0.000000,0.000080
1891,0.000000,0.000073
1892,0.000000,0.000087
1893,0.000000,0.000052
1894,0.000000,0.000062
1895,0.000000,0.000088
1896,0.000000,0.000070
1897,0.000000,0.000066
1898,0.000000,0.000084
1899,0.000000,0.000053
1900,0.000000,0.000073
1901,0.000000,0.000049
1902,0.000000,0.000075
1903,0.000000,0.000073
1904,0.000000,0.000067
1905,0.000000,0.000075
1906,0.000000,0.000058
1907,0.000000,0.000047
1908,0.000000,0.000094
1909,0.000000,0.000090
1910,0.000000,0.000074
1911,0.000000,0.000087
1912,0.000000,0.000086
1913,0.000000,0.000098
1914,0.000000,0.000091
1915,0.000000,0.000094
1916,0.000000,0.000082
1917,0.000003,0.000076
1918,0.000003,0.000070
1919,0.000000,0.000081
1920,0.000002,0.000080
1921,0.000003,0.000100
1922,0.000000,0.000090
1923,0.000000,0.000080
1924,0.000000,0.000081
1925,0.000002,0.000081
1926,0.000000,0.000091
1927,0.000000,0.000088
1928,0.000000,0.000075
1929,0.000000,0.000081
1930,0.000000,0.000080
1931,0.000000,0.000070
1932,0.000000,0.000070
1933,0.000000,0.000098
1934,0.000000,0.000096
1935,0.000000,0.000092
1936,0.000000,0.000074
1937,0.000002,0.000072
1938,0.000000,0.000079
1939,0.000000,0.000089
1940,0.000000,0.000086
1941,0.000000,0.000079
1942,0.000000,0.000092
1943,0.000000,0.000083
1944,0.000000,0.000080
1945,0.000000,0.000117
1946,0.000002,0.000085
1947,0.000000,0.000097
1948,0.000000,0.000099
1949,0.000000,0.000083
1950,0.000000,0.000072
1951,0.000000,0.000070
1952,0.000000,0.000063
1953,0.000000,0.000065
1954,0.000000,0.000065
1955,0.000000,0.000055
1956,0.000000,0.000060
1957,0.000001,0.000052
1958,0.000000,0.000049
1959,0.000000,0.000056
1960,0.000000,0.000066
1961,0.000000,0.000075
1962,0.000000,0.000064
1963,0.000001,0.000065
1964,0.000000,0.000057
1965,0.000000,0.000070
1966,0.000000,0.000066
1967,0.000000,0.000058
1968,0.000000,0.000063
1969,0.000000,0.000067
1970,0.000000,0.000065
1971,0.000001,0.000077
1972,0.000000,0.000063
1973,0.000003,0.000078
1974,0.000000,0.000072
1975,0.000000,0.000071
1976,0.000000,0.000075
1977,0.000002,0.000085
1978,0.000002,0.000073
1979,0.000003,0.000089
1980,0.000001,0.000097
1981,0.000001,0.000085
1982,0.000002,0.000134
1983,0.000003,0.000168
1984,0.000002,0.000151
1985,0.000003,0.000129
1986,0.000000,0.000127
1987,0.000004,0.000123
1988,0.000003,0.000143
1989,0.000003,0.000174
1990,0.000003,0.000170
1991,0.000003,0.000146
1992,0.000004,0.000150
1993,0.000004,0.000155
1994,0.000004,0.000128
1995,0.000004,0.000118
1996,0.000003,0.000114
1997,0.000006,0.000111
1998,0.000006,0.000117
1999,0.000005,0.000103
2000,0.000003,0.000107
2001,0.000005,0.000105
2002,0.000008,0.000112
2003,0.000016,0.000126
2004,0.000017,0.000148
2005,0.000024,0.000171
2006,0.000021,0.000195
2007,0.000029,0.000198
2008,0.000037,0.000203
2009,0.000044,0.000235
2010,0.000051,0.000275
2011,0.000055,0.000292
2012,0.000065,0.000346
