year,Erling
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,7
1911,5
1912,23
1913,45
1914,30
1915,48
1916,42
1917,44
1918,41
1919,45
1920,49
1921,37
1922,25
1923,42
1924,43
1925,40
1926,20
1927,37
1928,36
1929,36
1930,32
1931,26
1932,26
1933,26
1934,26
1935,25
1936,15
1937,18
1938,14
1939,19
1940,17
1941,13
1942,19
1943,14
1944,20
1945,8
1946,20
1947,14
1948,12
1949,16
1950,11
1951,12
1952,9
1953,8
1954,9
1955,13
1956,6
1957,7
1958,14
1959,0
1960,10
1961,6
1962,7
1963,8
1964,5
1965,7
1966,5
1967,6
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
