year,Erla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,10
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,5
1909,5
1910,7
1911,8
1912,5
1913,11
1914,23
1915,22
1916,14
1917,20
1918,27
1919,20
1920,14
1921,18
1922,20
1923,34
1924,35
1925,26
1926,30
1927,25
1928,30
1929,32
1930,30
1931,28
1932,20
1933,17
1934,28
1935,10
1936,9
1937,23
1938,15
1939,17
1940,19
1941,19
1942,20
1943,16
1944,10
1945,21
1946,14
1947,13
1948,10
1949,13
1950,8
1951,5
1952,11
1953,12
1954,11
1955,7
1956,6
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,5
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,5
1994,0
1995,5
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
