year,Erich (F),Erich (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000014
1896,0.000000,0.000014
1897,0.000000,0.000020
1898,0.000000,0.000000
1899,0.000000,0.000024
1900,0.000000,0.000020
1901,0.000000,0.000020
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000011
1912,0.000000,0.000010
1913,0.000000,0.000013
1914,0.000000,0.000016
1915,0.000000,0.000013
1916,0.000000,0.000017
1917,0.000000,0.000011
1918,0.000000,0.000012
1919,0.000000,0.000010
1920,0.000000,0.000010
1921,0.000000,0.000008
1922,0.000000,0.000008
1923,0.000000,0.000007
1924,0.000000,0.000009
1925,0.000000,0.000012
1926,0.000000,0.000007
1927,0.000000,0.000008
1928,0.000000,0.000012
1929,0.000000,0.000013
1930,0.000000,0.000014
1931,0.000000,0.000013
1932,0.000000,0.000013
1933,0.000000,0.000013
1934,0.000000,0.000012
1935,0.000000,0.000009
1936,0.000000,0.000013
1937,0.000000,0.000008
1938,0.000000,0.000010
1939,0.000000,0.000015
1940,0.000000,0.000017
1941,0.000000,0.000016
1942,0.000000,0.000011
1943,0.000000,0.000009
1944,0.000000,0.000011
1945,0.000000,0.000015
1946,0.000000,0.000011
1947,0.000000,0.000014
1948,0.000000,0.000013
1949,0.000000,0.000010
1950,0.000000,0.000013
1951,0.000000,0.000014
1952,0.000000,0.000016
1953,0.000000,0.000016
1954,0.000000,0.000015
1955,0.000000,0.000018
1956,0.000000,0.000022
1957,0.000000,0.000027
1958,0.000000,0.000028
1959,0.000000,0.000031
1960,0.000000,0.000040
1961,0.000000,0.000043
1962,0.000000,0.000037
1963,0.000000,0.000052
1964,0.000000,0.000051
1965,0.000000,0.000058
1966,0.000000,0.000054
1967,0.000000,0.000054
1968,0.000000,0.000070
1969,0.000000,0.000068
1970,0.000000,0.000084
1971,0.000000,0.000100
1972,0.000000,0.000092
1973,0.000000,0.000083
1974,0.000000,0.000083
1975,0.000000,0.000085
1976,0.000002,0.000079
1977,0.000000,0.000081
1978,0.000000,0.000076
1979,0.000000,0.000063
1980,0.000001,0.000079
1981,0.000000,0.000061
1982,0.000000,0.000074
1983,0.000001,0.000067
1984,0.000001,0.000071
1985,0.000000,0.000071
1986,0.000000,0.000059
1987,0.000001,0.000060
1988,0.000000,0.000065
1989,0.000000,0.000057
1990,0.000000,0.000051
1991,0.000000,0.000050
1992,0.000000,0.000052
1993,0.000000,0.000049
1994,0.000000,0.000051
1995,0.000000,0.000042
1996,0.000000,0.000044
1997,0.000000,0.000041
1998,0.000000,0.000033
1999,0.000000,0.000032
2000,0.000000,0.000033
2001,0.000000,0.000023
2002,0.000000,0.000024
2003,0.000000,0.000024
2004,0.000000,0.000020
2005,0.000000,0.000019
2006,0.000000,0.000014
2007,0.000000,0.000014
2008,0.000000,0.000013
2009,0.000000,0.000013
2010,0.000000,0.000010
2011,0.000001,0.000013
2012,0.000000,0.000009
2013,0.000000,0.000011
2014,0.000000,0.000013
2015,0.000000,0.000007
2016,0.000000,0.000008
2017,0.000000,0.000007
2018,0.000000,0.000004
2019,0.000000,0.000006
2020,0.000000,0.000005
