year,Earle (F),Earle (M)
1880,0.000000,0.000124
1881,0.000000,0.000109
1882,0.000000,0.000099
1883,0.000000,0.000152
1884,0.000000,0.000156
1885,0.000000,0.000095
1886,0.000000,0.000180
1887,0.000000,0.000158
1888,0.000000,0.000137
1889,0.000021,0.000163
1890,0.000017,0.000143
1891,0.000000,0.000143
1892,0.000000,0.000153
1893,0.000000,0.000166
1894,0.000000,0.000162
1895,0.000017,0.000151
1896,0.000014,0.000148
1897,0.000000,0.000107
1898,0.000016,0.000128
1899,0.000000,0.000127
1900,0.000000,0.000102
1901,0.000000,0.000098
1902,0.000016,0.000114
1903,0.000024,0.000087
1904,0.000015,0.000124
1905,0.000000,0.000078
1906,0.000000,0.000100
1907,0.000015,0.000107
1908,0.000000,0.000094
1909,0.000000,0.000100
1910,0.000000,0.000091
1911,0.000008,0.000129
1912,0.000007,0.000143
1913,0.000005,0.000171
1914,0.000009,0.000137
1915,0.000006,0.000168
1916,0.000007,0.000143
1917,0.000005,0.000163
1918,0.000004,0.000161
1919,0.000006,0.000134
1920,0.000003,0.000154
1921,0.000005,0.000142
1922,0.000006,0.000117
1923,0.000003,0.000120
1924,0.000004,0.000122
1925,0.000005,0.000120
1926,0.000000,0.000103
1927,0.000004,0.000110
1928,0.000000,0.000115
1929,0.000005,0.000119
1930,0.000003,0.000095
1931,0.000003,0.000085
1932,0.000003,0.000094
1933,0.000000,0.000085
1934,0.000003,0.000082
1935,0.000000,0.000079
1936,0.000000,0.000072
1937,0.000000,0.000068
1938,0.000005,0.000053
1939,0.000000,0.000055
1940,0.000000,0.000055
1941,0.000002,0.000053
1942,0.000003,0.000052
1943,0.000002,0.000056
1944,0.000000,0.000051
1945,0.000000,0.000041
1946,0.000000,0.000042
1947,0.000001,0.000040
1948,0.000000,0.000043
1949,0.000000,0.000034
1950,0.000000,0.000033
1951,0.000000,0.000036
1952,0.000000,0.000026
1953,0.000000,0.000028
1954,0.000000,0.000025
1955,0.000000,0.000028
1956,0.000000,0.000022
1957,0.000000,0.000020
1958,0.000000,0.000023
1959,0.000000,0.000022
1960,0.000000,0.000016
1961,0.000000,0.000017
1962,0.000000,0.000015
1963,0.000000,0.000013
1964,0.000000,0.000014
1965,0.000000,0.000014
1966,0.000000,0.000017
1967,0.000000,0.000015
1968,0.000000,0.000017
1969,0.000000,0.000012
1970,0.000000,0.000010
1971,0.000000,0.000016
1972,0.000000,0.000010
1973,0.000000,0.000011
1974,0.000000,0.000010
1975,0.000000,0.000010
1976,0.000000,0.000010
1977,0.000000,0.000007
1978,0.000000,0.000009
1979,0.000000,0.000009
1980,0.000000,0.000006
1981,0.000000,0.000008
1982,0.000000,0.000005
1983,0.000000,0.000007
1984,0.000000,0.000007
1985,0.000000,0.000004
1986,0.000000,0.000007
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000006
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000005
1993,0.000000,0.000003
1994,0.000000,0.000001
1995,0.000000,0.000002
1996,0.000000,0.000002
1997,0.000000,0.000001
1998,0.000000,0.000003
1999,0.000000,0.000000
2000,0.000000,0.000001
2001,0.000000,0.000000
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
