year,Elenora
1880,8
1881,6
1882,0
1883,8
1884,6
1885,10
1886,19
1887,17
1888,26
1889,16
1890,19
1891,15
1892,21
1893,23
1894,23
1895,25
1896,26
1897,31
1898,30
1899,35
1900,36
1901,30
1902,35
1903,28
1904,23
1905,39
1906,30
1907,39
1908,42
1909,31
1910,33
1911,25
1912,46
1913,62
1914,72
1915,88
1916,96
1917,119
1918,89
1919,84
1920,112
1921,101
1922,101
1923,74
1924,86
1925,90
1926,69
1927,63
1928,74
1929,56
1930,55
1931,52
1932,35
1933,32
1934,35
1935,48
1936,38
1937,43
1938,48
1939,30
1940,37
1941,29
1942,23
1943,22
1944,26
1945,16
1946,24
1947,18
1948,22
1949,20
1950,26
1951,15
1952,16
1953,13
1954,17
1955,10
1956,15
1957,17
1958,14
1959,13
1960,12
1961,15
1962,6
1963,7
1964,9
1965,9
1966,5
1967,9
1968,6
1969,0
1970,9
1971,0
1972,0
1973,0
1974,0
1975,10
1976,0
1977,6
1978,0
1979,6
1980,5
1981,0
1982,7
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,6
2004,0
2005,0
2006,6
2007,7
2008,0
2009,5
2010,11
2011,12
2012,16
