year,Enola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,7
1887,9
1888,0
1889,6
1890,6
1891,11
1892,12
1893,22
1894,16
1895,15
1896,7
1897,10
1898,16
1899,10
1900,19
1901,13
1902,16
1903,13
1904,22
1905,19
1906,14
1907,20
1908,21
1909,19
1910,22
1911,29
1912,33
1913,38
1914,43
1915,59
1916,61
1917,55
1918,68
1919,62
1920,73
1921,57
1922,71
1923,46
1924,58
1925,54
1926,65
1927,47
1928,43
1929,47
1930,38
1931,39
1932,25
1933,36
1934,32
1935,26
1936,24
1937,27
1938,21
1939,35
1940,24
1941,26
1942,29
1943,18
1944,16
1945,26
1946,20
1947,15
1948,16
1949,19
1950,15
1951,9
1952,13
1953,98
1954,56
1955,42
1956,40
1957,32
1958,32
1959,22
1960,10
1961,22
1962,19
1963,24
1964,23
1965,20
1966,7
1967,10
1968,9
1969,8
1970,6
1971,5
1972,7
1973,5
1974,9
1975,5
1976,5
1977,5
1978,9
1979,6
1980,9
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,8
1997,8
1998,5
1999,8
2000,13
2001,11
2002,6
2003,13
2004,13
2005,13
2006,16
2007,15
2008,21
2009,20
2010,8
2011,10
2012,5
