year,Emmet (F),Emmet (M)
1880,0.000000,0.000169
1881,0.000000,0.000125
1882,0.000000,0.000099
1883,0.000000,0.000115
1884,0.000000,0.000103
1885,0.000000,0.000083
1886,0.000000,0.000094
1887,0.000000,0.000036
1888,0.000000,0.000100
1889,0.000000,0.000083
1890,0.000000,0.000080
1891,0.000000,0.000049
1892,0.000000,0.000057
1893,0.000000,0.000058
1894,0.000000,0.000056
1895,0.000000,0.000088
1896,0.000000,0.000059
1897,0.000000,0.000037
1898,0.000000,0.000034
1899,0.000000,0.000038
1900,0.000000,0.000060
1901,0.000000,0.000038
1902,0.000000,0.000034
1903,0.000000,0.000071
1904,0.000000,0.000047
1905,0.000000,0.000042
1906,0.000000,0.000044
1907,0.000000,0.000039
1908,0.000000,0.000027
1909,0.000000,0.000051
1910,0.000000,0.000032
1911,0.000000,0.000059
1912,0.000000,0.000037
1913,0.000000,0.000052
1914,0.000000,0.000037
1915,0.000000,0.000047
1916,0.000000,0.000036
1917,0.000000,0.000033
1918,0.000000,0.000038
1919,0.000000,0.000035
1920,0.000000,0.000044
1921,0.000000,0.000039
1922,0.000000,0.000035
1923,0.000000,0.000035
1924,0.000000,0.000026
1925,0.000000,0.000028
1926,0.000000,0.000030
1927,0.000000,0.000026
1928,0.000000,0.000031
1929,0.000000,0.000020
1930,0.000000,0.000026
1931,0.000000,0.000018
1932,0.000000,0.000021
1933,0.000000,0.000022
1934,0.000000,0.000019
1935,0.000000,0.000015
1936,0.000000,0.000015
1937,0.000000,0.000010
1938,0.000000,0.000013
1939,0.000000,0.000012
1940,0.000000,0.000013
1941,0.000000,0.000013
1942,0.000000,0.000015
1943,0.000000,0.000006
1944,0.000000,0.000013
1945,0.000000,0.000012
1946,0.000000,0.000005
1947,0.000000,0.000011
1948,0.000000,0.000006
1949,0.000000,0.000009
1950,0.000000,0.000006
1951,0.000000,0.000008
1952,0.000000,0.000007
1953,0.000000,0.000006
1954,0.000000,0.000003
1955,0.000000,0.000005
1956,0.000000,0.000007
1957,0.000000,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000003
1962,0.000000,0.000004
1963,0.000000,0.000006
1964,0.000000,0.000004
1965,0.000000,0.000006
1966,0.000000,0.000003
1967,0.000000,0.000007
1968,0.000000,0.000003
1969,0.000000,0.000006
1970,0.000000,0.000005
1971,0.000000,0.000005
1972,0.000000,0.000005
1973,0.000000,0.000007
1974,0.000000,0.000004
1975,0.000000,0.000007
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000000
1979,0.000000,0.000006
1980,0.000000,0.000006
1981,0.000000,0.000003
1982,0.000000,0.000004
1983,0.000000,0.000004
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000002
1987,0.000000,0.000003
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000005
1991,0.000000,0.000006
1992,0.000000,0.000005
1993,0.000000,0.000007
1994,0.000000,0.000012
1995,0.000000,0.000010
1996,0.000000,0.000012
1997,0.000000,0.000011
1998,0.000000,0.000010
1999,0.000000,0.000011
2000,0.000000,0.000012
2001,0.000000,0.000013
2002,0.000000,0.000013
2003,0.000000,0.000017
2004,0.000000,0.000019
2005,0.000000,0.000024
2006,0.000000,0.000020
2007,0.000000,0.000020
2008,0.000000,0.000021
2009,0.000000,0.000027
2010,0.000000,0.000036
2011,0.000000,0.000040
2012,0.000000,0.000043
2013,0.000000,0.000048
2014,0.000000,0.000059
2015,0.000000,0.000071
2016,0.000000,0.000066
2017,0.000000,0.000061
2018,0.000000,0.000055
2019,0.000000,0.000055
2020,0.000000,0.000042
