year,Eldon (F),Eldon (M)
1880,0.000000,0.000000
1881,0.000000,0.000042
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000037
1886,0.000000,0.000027
1887,0.000000,0.000032
1888,0.000000,0.000037
1889,0.000000,0.000038
1890,0.000000,0.000023
1891,0.000000,0.000031
1892,0.000000,0.000021
1893,0.000000,0.000031
1894,0.000000,0.000041
1895,0.000000,0.000026
1896,0.000000,0.000039
1897,0.000000,0.000043
1898,0.000000,0.000029
1899,0.000000,0.000062
1900,0.000000,0.000044
1901,0.000000,0.000055
1902,0.000000,0.000062
1903,0.000000,0.000071
1904,0.000000,0.000064
1905,0.000000,0.000061
1906,0.000000,0.000089
1907,0.000000,0.000082
1908,0.000000,0.000078
1909,0.000000,0.000076
1910,0.000000,0.000105
1911,0.000000,0.000099
1912,0.000000,0.000155
1913,0.000000,0.000214
1914,0.000000,0.000208
1915,0.000000,0.000219
1916,0.000000,0.000220
1917,0.000002,0.000219
1918,0.000003,0.000240
1919,0.000000,0.000245
1920,0.000003,0.000228
1921,0.000000,0.000255
1922,0.000003,0.000264
1923,0.000000,0.000257
1924,0.000000,0.000252
1925,0.000000,0.000254
1926,0.000000,0.000282
1927,0.000000,0.000276
1928,0.000000,0.000256
1929,0.000004,0.000265
1930,0.000000,0.000258
1931,0.000003,0.000267
1932,0.000002,0.000259
1933,0.000000,0.000268
1934,0.000000,0.000274
1935,0.000000,0.000246
1936,0.000000,0.000260
1937,0.000000,0.000230
1938,0.000002,0.000206
1939,0.000000,0.000224
1940,0.000000,0.000210
1941,0.000000,0.000178
1942,0.000000,0.000164
1943,0.000000,0.000159
1944,0.000003,0.000144
1945,0.000000,0.000133
1946,0.000000,0.000108
1947,0.000000,0.000121
1948,0.000000,0.000106
1949,0.000000,0.000097
1950,0.000000,0.000084
1951,0.000000,0.000078
1952,0.000000,0.000078
1953,0.000000,0.000071
1954,0.000000,0.000069
1955,0.000000,0.000063
1956,0.000000,0.000060
1957,0.000000,0.000051
1958,0.000000,0.000048
1959,0.000000,0.000044
1960,0.000000,0.000043
1961,0.000000,0.000040
1962,0.000000,0.000042
1963,0.000000,0.000037
1964,0.000000,0.000037
1965,0.000000,0.000037
1966,0.000000,0.000030
1967,0.000000,0.000033
1968,0.000000,0.000030
1969,0.000000,0.000033
1970,0.000000,0.000038
1971,0.000000,0.000034
1972,0.000000,0.000029
1973,0.000000,0.000029
1974,0.000000,0.000029
1975,0.000000,0.000034
1976,0.000000,0.000031
1977,0.000000,0.000026
1978,0.000000,0.000021
1979,0.000000,0.000018
1980,0.000000,0.000023
1981,0.000000,0.000019
1982,0.000000,0.000013
1983,0.000000,0.000019
1984,0.000000,0.000018
1985,0.000000,0.000017
1986,0.000000,0.000013
1987,0.000000,0.000016
1988,0.000000,0.000012
1989,0.000000,0.000014
1990,0.000000,0.000012
1991,0.000000,0.000014
1992,0.000000,0.000010
1993,0.000000,0.000011
1994,0.000000,0.000013
1995,0.000000,0.000011
1996,0.000000,0.000009
1997,0.000000,0.000013
1998,0.000000,0.000013
1999,0.000000,0.000010
2000,0.000000,0.000012
2001,0.000000,0.000011
2002,0.000000,0.000011
2003,0.000000,0.000010
2004,0.000000,0.000013
2005,0.000000,0.000012
2006,0.000000,0.000014
2007,0.000000,0.000010
2008,0.000000,0.000014
2009,0.000000,0.000010
2010,0.000000,0.000012
2011,0.000000,0.000014
2012,0.000000,0.000015
