year,Emeline
1880,9
1881,6
1882,13
1883,11
1884,18
1885,10
1886,21
1887,11
1888,15
1889,18
1890,15
1891,21
1892,16
1893,17
1894,9
1895,14
1896,20
1897,16
1898,15
1899,17
1900,22
1901,12
1902,16
1903,8
1904,17
1905,12
1906,16
1907,20
1908,23
1909,15
1910,19
1911,26
1912,29
1913,26
1914,29
1915,41
1916,45
1917,38
1918,54
1919,46
1920,30
1921,40
1922,34
1923,25
1924,37
1925,17
1926,21
1927,23
1928,16
1929,14
1930,20
1931,17
1932,8
1933,11
1934,9
1935,11
1936,17
1937,16
1938,7
1939,9
1940,10
1941,11
1942,5
1943,9
1944,10
1945,5
1946,6
1947,0
1948,7
1949,8
1950,8
1951,8
1952,6
1953,7
1954,5
1955,11
1956,5
1957,11
1958,5
1959,9
1960,9
1961,10
1962,12
1963,6
1964,11
1965,6
1966,10
1967,0
1968,5
1969,0
1970,7
1971,5
1972,0
1973,0
1974,6
1975,14
1976,12
1977,14
1978,8
1979,5
1980,6
1981,6
1982,10
1983,9
1984,9
1985,8
1986,10
1987,14
1988,9
1989,15
1990,18
1991,11
1992,20
1993,16
1994,19
1995,28
1996,35
1997,36
1998,34
1999,34
2000,49
2001,37
2002,51
2003,67
2004,46
2005,51
2006,52
2007,54
2008,46
2009,57
2010,76
2011,83
2012,90
