year,Evalyn
1880,8
1881,0
1882,13
1883,9
1884,13
1885,16
1886,12
1887,15
1888,19
1889,10
1890,13
1891,23
1892,19
1893,23
1894,21
1895,25
1896,28
1897,26
1898,35
1899,22
1900,39
1901,23
1902,20
1903,35
1904,23
1905,38
1906,32
1907,32
1908,37
1909,37
1910,38
1911,54
1912,68
1913,81
1914,126
1915,172
1916,196
1917,196
1918,222
1919,179
1920,178
1921,158
1922,158
1923,143
1924,114
1925,95
1926,110
1927,82
1928,70
1929,62
1930,68
1931,61
1932,63
1933,49
1934,41
1935,47
1936,52
1937,52
1938,49
1939,49
1940,52
1941,56
1942,45
1943,46
1944,32
1945,29
1946,41
1947,33
1948,29
1949,28
1950,19
1951,43
1952,33
1953,15
1954,24
1955,29
1956,39
1957,23
1958,17
1959,16
1960,23
1961,14
1962,10
1963,14
1964,13
1965,9
1966,15
1967,6
1968,6
1969,14
1970,5
1971,7
1972,6
1973,0
1974,0
1975,6
1976,5
1977,6
1978,0
1979,8
1980,9
1981,6
1982,7
1983,0
1984,0
1985,8
1986,5
1987,5
1988,0
1989,6
1990,6
1991,17
1992,11
1993,11
1994,16
1995,8
1996,16
1997,14
1998,20
1999,23
2000,16
2001,33
2002,59
2003,61
2004,68
2005,92
2006,108
2007,132
2008,134
2009,209
2010,240
2011,247
2012,277
