year,Elzora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,7
1895,0
1896,0
1897,7
1898,0
1899,0
1900,8
1901,11
1902,0
1903,0
1904,0
1905,6
1906,9
1907,12
1908,8
1909,10
1910,12
1911,10
1912,10
1913,10
1914,13
1915,21
1916,22
1917,12
1918,16
1919,18
1920,20
1921,23
1922,14
1923,14
1924,22
1925,17
1926,15
1927,24
1928,15
1929,7
1930,14
1931,13
1932,12
1933,20
1934,15
1935,11
1936,7
1937,5
1938,11
1939,8
1940,6
1941,0
1942,10
1943,5
1944,5
1945,0
1946,0
1947,0
1948,0
1949,7
1950,0
1951,0
1952,0
1953,11
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
