year,Elden (F),Elden (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000031
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000020
1898,0.000000,0.000021
1899,0.000000,0.000024
1900,0.000000,0.000018
1901,0.000000,0.000020
1902,0.000000,0.000000
1903,0.000000,0.000018
1904,0.000000,0.000020
1905,0.000000,0.000017
1906,0.000000,0.000014
1907,0.000000,0.000032
1908,0.000000,0.000010
1909,0.000000,0.000022
1910,0.000000,0.000022
1911,0.000000,0.000026
1912,0.000000,0.000043
1913,0.000000,0.000040
1914,0.000000,0.000051
1915,0.000000,0.000051
1916,0.000000,0.000064
1917,0.000000,0.000045
1918,0.000000,0.000057
1919,0.000000,0.000052
1920,0.000000,0.000057
1921,0.000000,0.000053
1922,0.000000,0.000062
1923,0.000000,0.000055
1924,0.000000,0.000060
1925,0.000000,0.000058
1926,0.000003,0.000049
1927,0.000000,0.000055
1928,0.000000,0.000045
1929,0.000000,0.000056
1930,0.000000,0.000046
1931,0.000000,0.000054
1932,0.000000,0.000045
1933,0.000000,0.000041
1934,0.000000,0.000064
1935,0.000002,0.000056
1936,0.000000,0.000039
1937,0.000000,0.000045
1938,0.000000,0.000038
1939,0.000000,0.000039
1940,0.000000,0.000036
1941,0.000000,0.000028
1942,0.000000,0.000026
1943,0.000000,0.000028
1944,0.000000,0.000023
1945,0.000000,0.000022
1946,0.000000,0.000020
1947,0.000000,0.000021
1948,0.000000,0.000014
1949,0.000000,0.000015
1950,0.000000,0.000014
1951,0.000000,0.000011
1952,0.000000,0.000015
1953,0.000000,0.000012
1954,0.000000,0.000012
1955,0.000000,0.000014
1956,0.000000,0.000014
1957,0.000000,0.000014
1958,0.000000,0.000012
1959,0.000000,0.000014
1960,0.000000,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000010
1963,0.000000,0.000008
1964,0.000000,0.000009
1965,0.000000,0.000010
1966,0.000000,0.000008
1967,0.000000,0.000008
1968,0.000000,0.000008
1969,0.000000,0.000010
1970,0.000000,0.000005
1971,0.000000,0.000006
1972,0.000000,0.000007
1973,0.000000,0.000009
1974,0.000000,0.000006
1975,0.000000,0.000006
1976,0.000000,0.000006
1977,0.000000,0.000006
1978,0.000000,0.000006
1979,0.000000,0.000005
1980,0.000000,0.000004
1981,0.000000,0.000005
1982,0.000000,0.000004
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000004
1986,0.000000,0.000006
1987,0.000000,0.000004
1988,0.000000,0.000003
1989,0.000000,0.000002
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000005
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000003
1996,0.000000,0.000004
1997,0.000000,0.000006
1998,0.000000,0.000004
1999,0.000000,0.000003
2000,0.000000,0.000004
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000006
2007,0.000000,0.000008
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000008
2011,0.000000,0.000007
2012,0.000000,0.000009
