year,Emanuela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,9
1919,0
1920,9
1921,6
1922,0
1923,0
1924,6
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,0
1969,5
1970,0
1971,5
1972,5
1973,0
1974,0
1975,0
1976,5
1977,8
1978,6
1979,9
1980,6
1981,6
1982,6
1983,8
1984,6
1985,9
1986,6
1987,0
1988,9
1989,0
1990,8
1991,10
1992,9
1993,5
1994,9
1995,9
1996,10
1997,7
1998,12
1999,6
2000,8
2001,9
2002,11
2003,15
2004,16
2005,19
2006,13
2007,18
2008,13
2009,17
2010,13
2011,21
2012,20
