year,Ernie (F),Ernie (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000054
1883,0.000000,0.000055
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000040
1888,0.000000,0.000023
1889,0.000017,0.000024
1890,0.000000,0.000030
1891,0.000000,0.000021
1892,0.000000,0.000018
1893,0.000000,0.000034
1894,0.000000,0.000032
1895,0.000023,0.000020
1896,0.000000,0.000039
1897,0.000014,0.000020
1898,0.000016,0.000026
1899,0.000000,0.000000
1900,0.000000,0.000027
1901,0.000000,0.000035
1902,0.000000,0.000021
1903,0.000013,0.000018
1904,0.000015,0.000032
1905,0.000012,0.000045
1906,0.000016,0.000026
1907,0.000017,0.000026
1908,0.000018,0.000031
1909,0.000016,0.000037
1910,0.000020,0.000032
1911,0.000019,0.000031
1912,0.000013,0.000020
1913,0.000011,0.000043
1914,0.000008,0.000025
1915,0.000009,0.000038
1916,0.000011,0.000028
1917,0.000008,0.000037
1918,0.000010,0.000028
1919,0.000012,0.000035
1920,0.000006,0.000034
1921,0.000004,0.000040
1922,0.000007,0.000028
1923,0.000010,0.000042
1924,0.000005,0.000037
1925,0.000006,0.000037
1926,0.000007,0.000048
1927,0.000006,0.000042
1928,0.000007,0.000044
1929,0.000010,0.000053
1930,0.000006,0.000047
1931,0.000011,0.000040
1932,0.000006,0.000058
1933,0.000010,0.000061
1934,0.000009,0.000063
1935,0.000008,0.000077
1936,0.000007,0.000068
1937,0.000003,0.000073
1938,0.000006,0.000079
1939,0.000006,0.000078
1940,0.000004,0.000075
1941,0.000004,0.000066
1942,0.000002,0.000070
1943,0.000005,0.000080
1944,0.000003,0.000103
1945,0.000004,0.000144
1946,0.000002,0.000112
1947,0.000002,0.000110
1948,0.000003,0.000101
1949,0.000003,0.000094
1950,0.000003,0.000087
1951,0.000003,0.000081
1952,0.000002,0.000072
1953,0.000000,0.000072
1954,0.000000,0.000068
1955,0.000003,0.000078
1956,0.000002,0.000079
1957,0.000002,0.000100
1958,0.000000,0.000107
1959,0.000001,0.000108
1960,0.000002,0.000105
1961,0.000000,0.000103
1962,0.000000,0.000096
1963,0.000000,0.000095
1964,0.000000,0.000081
1965,0.000000,0.000073
1966,0.000000,0.000079
1967,0.000002,0.000068
1968,0.000000,0.000055
1969,0.000000,0.000064
1970,0.000000,0.000059
1971,0.000000,0.000062
1972,0.000000,0.000047
1973,0.000000,0.000052
1974,0.000000,0.000046
1975,0.000000,0.000043
1976,0.000000,0.000049
1977,0.000000,0.000044
1978,0.000000,0.000041
1979,0.000000,0.000037
1980,0.000000,0.000036
1981,0.000000,0.000038
1982,0.000000,0.000035
1983,0.000000,0.000027
1984,0.000000,0.000030
1985,0.000000,0.000027
1986,0.000000,0.000028
1987,0.000000,0.000025
1988,0.000000,0.000026
1989,0.000000,0.000020
1990,0.000000,0.000025
1991,0.000000,0.000021
1992,0.000000,0.000023
1993,0.000000,0.000023
1994,0.000000,0.000015
1995,0.000000,0.000016
1996,0.000000,0.000019
1997,0.000000,0.000017
1998,0.000000,0.000016
1999,0.000000,0.000015
2000,0.000000,0.000017
2001,0.000000,0.000011
2002,0.000000,0.000013
2003,0.000000,0.000017
2004,0.000000,0.000013
2005,0.000000,0.000013
2006,0.000000,0.000011
2007,0.000000,0.000012
2008,0.000000,0.000009
2009,0.000000,0.000006
2010,0.000000,0.000007
2011,0.000000,0.000011
2012,0.000000,0.000007
