year,Emelia
1880,12
1881,10
1882,17
1883,29
1884,12
1885,29
1886,19
1887,27
1888,33
1889,13
1890,34
1891,31
1892,22
1893,33
1894,26
1895,27
1896,24
1897,22
1898,26
1899,28
1900,25
1901,27
1902,25
1903,22
1904,16
1905,17
1906,31
1907,16
1908,28
1909,22
1910,30
1911,21
1912,26
1913,36
1914,41
1915,52
1916,48
1917,54
1918,57
1919,44
1920,47
1921,58
1922,54
1923,44
1924,54
1925,48
1926,34
1927,40
1928,26
1929,40
1930,41
1931,16
1932,20
1933,28
1934,18
1935,23
1936,18
1937,19
1938,27
1939,14
1940,18
1941,19
1942,20
1943,19
1944,20
1945,19
1946,20
1947,15
1948,25
1949,19
1950,24
1951,16
1952,25
1953,20
1954,14
1955,19
1956,15
1957,25
1958,18
1959,12
1960,13
1961,14
1962,17
1963,16
1964,18
1965,13
1966,8
1967,13
1968,13
1969,9
1970,7
1971,11
1972,15
1973,14
1974,12
1975,12
1976,12
1977,15
1978,13
1979,16
1980,24
1981,25
1982,21
1983,27
1984,29
1985,26
1986,40
1987,37
1988,39
1989,42
1990,53
1991,62
1992,57
1993,61
1994,61
1995,69
1996,78
1997,79
1998,90
1999,88
2000,114
2001,115
2002,162
2003,189
2004,220
2005,210
2006,247
2007,222
2008,282
2009,316
2010,338
2011,366
2012,409
